[INFO] [1789097395.493044301] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-plane ICP)
[INFO] [1789097395.493128136] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097395.493136239] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097395.493142202] [lidar_inertial_odometer]:   ring   : selection=all band=[30,63] -> 34/64 ch (dropped 0 above + 30 below)
[INFO] [1789097395.493149136] [lidar_inertial_odometer]:   normal : loam_curvature
[INFO] [1789097401.019136827] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097406.091298661] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317400971.610 | feat 3536/8160 | map   3114 | icp ok  iter  3 corr  3257 rms 0.0500   14.46 ms | p=(   42.58   -24.36   2.43) v=3.51 m/s [KF]
[lio] t=1317400971.715 | feat 3410/8160 | map   3164 | icp ok  iter  4 corr  3194 rms 0.0369   14.83 ms | p=(   42.67   -24.72   2.44) v=3.51 m/s
[lio] t=1317400971.819 | feat 3380/8160 | map   3164 | icp ok  iter  3 corr  3128 rms 0.0521   12.66 ms | p=(   42.74   -25.09   2.45) v=3.62 m/s
[lio] t=1317400971.923 | feat 3260/8160 | map   3164 | icp ok  iter  4 corr  2995 rms 0.0427   14.84 ms | p=(   42.79   -25.46   2.46) v=3.68 m/s [KF]
[lio] t=1317400972.027 | feat 3614/8160 | map   3167 | icp ok  iter  3 corr  3394 rms 0.0352   14.26 ms | p=(   42.85   -25.87   2.46) v=3.88 m/s
[lio] t=1317400972.131 | feat 3830/8160 | map   3167 | icp ok  iter  3 corr  3568 rms 0.0438   15.08 ms | p=(   42.87   -26.28   2.46) v=3.99 m/s
[lio] t=1317400972.235 | feat 3390/8160 | map   3167 | icp ok  iter  3 corr  3153 rms 0.0420   14.76 ms | p=(   42.88   -26.70   2.46) v=4.10 m/s [KF]
[lio] t=1317400972.340 | feat 3724/8160 | map   3157 | icp ok  iter  3 corr  3504 rms 0.0369   13.25 ms | p=(   42.84   -27.16   2.46) v=4.41 m/s
[lio] t=1317400972.444 | feat 3415/8160 | map   3157 | icp ok  iter  5 corr  3183 rms 0.0345   19.38 ms | p=(   42.79   -27.61   2.46) v=4.46 m/s
[lio] t=1317400972.547 | feat 3538/8160 | map   3157 | icp ok  iter  4 corr  3344 rms 0.0374   15.38 ms | p=(   42.71   -28.09   2.47) v=4.73 m/s [KF]
[lio] t=1317400972.651 | feat 3678/8160 | map   3146 | icp ok  iter  3 corr  3495 rms 0.0386   13.84 ms | p=(   42.62   -28.57   2.47) v=4.83 m/s
[lio] t=1317400972.755 | feat 3696/8160 | map   3146 | icp ok  iter  4 corr  3461 rms 0.0485   18.54 ms | p=(   42.50   -29.06   2.47) v=4.95 m/s
[lio] t=1317400972.859 | feat 3638/8160 | map   3146 | icp ok  iter  4 corr  3401 rms 0.0452   16.75 ms | p=(   42.34   -29.58   2.47) v=5.26 m/s [KF]
[lio] t=1317400972.963 | feat 3645/8160 | map   3140 | icp ok  iter  5 corr  3418 rms 0.0381   21.80 ms | p=(   42.18   -30.10   2.47) v=5.35 m/s
[lio] t=1317400973.067 | feat 3704/8154 | map   3140 | icp ok  iter  4 corr  3513 rms 0.0454   19.44 ms | p=(   41.99   -30.65   2.46) v=5.65 m/s [KF]
[lio] t=1317400973.170 | feat 3694/8160 | map   3105 | icp ok  iter  4 corr  3542 rms 0.0360   17.26 ms | p=(   41.78   -31.18   2.45) v=5.68 m/s
[lio] t=1317400973.274 | feat 3980/8160 | map   3105 | icp ok  iter  4 corr  3816 rms 0.0372   20.29 ms | p=(   41.55   -31.74   2.44) v=5.88 m/s [KF]
[lio] t=1317400973.378 | feat 3947/8144 | map   3075 | icp ok  iter  4 corr  3748 rms 0.0359   18.12 ms | p=(   41.29   -32.32   2.44) v=6.20 m/s
[lio] t=1317400973.481 | feat 3799/8159 | map   3075 | icp ok  iter  5 corr  3601 rms 0.0398   25.04 ms | p=(   41.03   -32.90   2.43) v=6.31 m/s [KF]
[lio] t=1317400973.585 | feat 4045/8145 | map   3058 | icp ok  iter  4 corr  3901 rms 0.0412   20.18 ms | p=(   40.74   -33.50   2.42) v=6.49 m/s
[lio] t=1317400973.689 | feat 3834/8152 | map   3058 | icp ok  iter  3 corr  3679 rms 0.0428   13.57 ms | p=(   40.44   -34.10   2.42) v=6.62 m/s [KF]
[lio] t=1317400973.792 | feat 3889/8155 | map   3043 | icp ok  iter  5 corr  3723 rms 0.0336   23.06 ms | p=(   40.11   -34.75   2.41) v=6.96 m/s
[lio] t=1317400973.896 | feat 3912/8130 | map   3043 | icp ok  iter  4 corr  3766 rms 0.0363   19.79 ms | p=(   39.79   -35.33   2.41) v=6.75 m/s [KF]
[lio] t=1317400974.000 | feat 4301/8138 | map   3014 | icp ok  iter  5 corr  4181 rms 0.0556   26.72 ms | p=(   39.43   -35.99   2.40) v=7.18 m/s
[lio] t=1317400974.104 | feat 4321/8138 | map   3014 | icp ok  iter  4 corr  4137 rms 0.0595   21.31 ms | p=(   39.05   -36.69   2.39) v=7.58 m/s [KF]
[lio] t=1317400974.207 | feat 4304/8128 | map   3007 | icp ok  iter  4 corr  4023 rms 0.0385   20.44 ms | p=(   38.68   -37.34   2.39) v=7.45 m/s
[lio] t=1317400974.311 | feat 4192/8160 | map   3007 | icp ok  iter  5 corr  3807 rms 0.0370   24.81 ms | p=(   38.28   -38.05   2.39) v=7.78 m/s [KF]
[lio] t=1317400974.415 | feat 4399/8160 | map   3019 | icp ok  iter  3 corr  4130 rms 0.0384   18.35 ms | p=(   37.90   -38.74   2.39) v=7.78 m/s
[lio] t=1317400974.518 | feat 4297/8160 | map   3019 | icp ok  iter  5 corr  3987 rms 0.0370   25.61 ms | p=(   37.53   -39.41   2.39) v=7.61 m/s [KF]
[lio] t=1317400974.622 | feat 4192/8160 | map   3022 | icp ok  iter  4 corr  3965 rms 0.0314   17.51 ms | p=(   37.15   -40.13   2.38) v=7.75 m/s
[lio] t=1317400974.726 | feat 4341/8160 | map   3022 | icp ok  iter  4 corr  3958 rms 0.0357   18.70 ms | p=(   36.78   -40.83   2.37) v=7.75 m/s [KF]
[lio] t=1317400974.830 | feat 4344/8160 | map   3047 | icp ok  iter  4 corr  4148 rms 0.0356   20.95 ms | p=(   36.39   -41.54   2.38) v=7.75 m/s
[lio] t=1317400974.933 | feat 4562/8160 | map   3047 | icp ok  iter  5 corr  4385 rms 0.0398   27.34 ms | p=(   36.01   -42.24   2.38) v=7.75 m/s [KF]
[lio] t=1317400975.037 | feat 4629/8160 | map   3041 | icp ok  iter  5 corr  4468 rms 0.0464   27.17 ms | p=(   35.64   -42.95   2.38) v=7.75 m/s
[lio] t=1317400975.141 | feat 4604/8160 | map   3041 | icp ok  iter  4 corr  4390 rms 0.0421   22.51 ms | p=(   35.26   -43.67   2.37) v=7.78 m/s [KF]
[lio] t=1317400975.245 | feat 4309/8160 | map   3054 | icp ok  iter  4 corr  4097 rms 0.0369   18.98 ms | p=(   34.91   -44.37   2.37) v=7.64 m/s
[lio] t=1317400975.349 | feat 4081/8160 | map   3054 | icp ok  iter  4 corr  3864 rms 0.0378   17.95 ms | p=(   34.55   -45.09   2.37) v=7.74 m/s [KF]
[lio] t=1317400975.453 | feat 3881/8160 | map   3083 | icp ok  iter  5 corr  3693 rms 0.0411   22.72 ms | p=(   34.20   -45.82   2.35) v=7.81 m/s
[lio] t=1317400975.556 | feat 3660/8160 | map   3083 | icp ok  iter  5 corr  3385 rms 0.0468   19.19 ms | p=(   33.84   -46.56   2.34) v=7.87 m/s [KF]
[lio] t=1317400975.660 | feat 3674/8160 | map   3093 | icp ok  iter  4 corr  3378 rms 0.0394   16.81 ms | p=(   33.49   -47.28   2.34) v=7.77 m/s
[lio] t=1317400975.764 | feat 3723/8160 | map   3093 | icp ok  iter  4 corr  3373 rms 0.0487   16.20 ms | p=(   33.14   -48.01   2.34) v=7.81 m/s [KF]
[lio] t=1317400975.868 | feat 3481/8160 | map   3118 | icp ok  iter  3 corr  3136 rms 0.0811   13.89 ms | p=(   32.81   -48.72   2.31) v=7.68 m/s
[lio] t=1317400975.972 | feat 3633/8160 | map   3118 | icp ok  iter  4 corr  3322 rms 0.0564   17.33 ms | p=(   32.45   -49.47   2.28) v=7.92 m/s [KF]
[lio] t=1317400976.076 | feat 3495/8160 | map   3133 | icp ok  iter  4 corr  3147 rms 0.0333   14.82 ms | p=(   32.09   -50.21   2.27) v=7.97 m/s
[lio] t=1317400976.180 | feat 3590/8160 | map   3133 | icp ok  iter  3 corr  3116 rms 0.0598   12.77 ms | p=(   31.74   -50.97   2.28) v=8.01 m/s [KF]
[lio] t=1317400976.283 | feat 3502/8160 | map   3150 | icp ok  iter  4 corr  3067 rms 0.0400   13.36 ms | p=(   31.39   -51.72   2.27) v=8.01 m/s
[lio] t=1317400976.387 | feat 3500/8160 | map   3150 | icp ok  iter  4 corr  3152 rms 0.0548   16.42 ms | p=(   31.04   -52.47   2.26) v=8.06 m/s [KF]
[lio] t=1317400976.491 | feat 3516/8160 | map   3139 | icp ok  iter  4 corr  3193 rms 0.0416   15.08 ms | p=(   30.69   -53.23   2.25) v=8.13 m/s
[lio] t=1317400976.595 | feat 3665/8160 | map   3139 | icp ok  iter  4 corr  3299 rms 0.0483   15.41 ms | p=(   30.33   -54.01   2.25) v=8.26 m/s [KF]
[lio] t=1317400976.699 | feat 3522/8160 | map   3122 | icp ok  iter  4 corr  3173 rms 0.0465   13.98 ms | p=(   29.97   -54.79   2.24) v=8.31 m/s
[lio] t=1317400976.803 | feat 3556/8160 | map   3122 | icp ok  iter  4 corr  3058 rms 0.0545   15.58 ms | p=(   29.61   -55.57   2.24) v=8.34 m/s [KF]
[lio] t=1317400976.907 | feat 3448/8160 | map   3082 | icp ok  iter 12 corr  2905 rms 0.0403   45.82 ms | p=(   29.24   -56.35   2.23) v=8.40 m/s
[lio] t=1317400977.011 | feat 3573/8160 | map   3082 | icp ok  iter  4 corr  3042 rms 0.0417   14.94 ms | p=(   28.87   -57.12   2.22) v=8.35 m/s [KF]
[lio] t=1317400977.115 | feat 3694/8160 | map   3040 | icp ok  iter  3 corr  3231 rms 0.0373   11.93 ms | p=(   28.47   -57.95   2.22) v=8.69 m/s
[lio] t=1317400977.219 | feat 3822/8160 | map   3040 | icp ok  iter  4 corr  3396 rms 0.0428   17.59 ms | p=(   28.09   -58.76   2.22) v=8.75 m/s [KF]
[lio] t=1317400977.323 | feat 3465/8160 | map   3001 | icp ok  iter  4 corr  3164 rms 0.0552   16.20 ms | p=(   27.70   -59.58   2.21) v=8.82 m/s
[lio] t=1317400977.427 | feat 3639/8160 | map   3001 | icp ok  iter  3 corr  3274 rms 0.0716   14.76 ms | p=(   27.30   -60.43   2.21) v=9.01 m/s [KF]
[lio] t=1317400977.530 | feat 3467/8160 | map   2974 | icp ok  iter  5 corr  3153 rms 0.0371   18.81 ms | p=(   26.89   -61.26   2.21) v=8.99 m/s
[lio] t=1317400977.634 | feat 3201/8160 | map   2974 | icp ok  iter  4 corr  2890 rms 0.0376   14.64 ms | p=(   26.49   -62.08   2.21) v=8.93 m/s [KF]
[lio] t=1317400977.738 | feat 3392/8160 | map   2964 | icp ok  iter  3 corr  3095 rms 0.0375   11.83 ms | p=(   26.08   -62.95   2.20) v=9.22 m/s
[lio] t=1317400977.842 | feat 2829/8160 | map   2964 | icp ok  iter  4 corr  2496 rms 0.0644   12.94 ms | p=(   25.65   -63.81   2.20) v=9.33 m/s [KF]
[lio] t=1317400977.946 | feat 2876/8160 | map   2931 | icp ok  iter  5 corr  2493 rms 0.0853   15.85 ms | p=(   25.23   -64.69   2.19) v=9.46 m/s
[lio] t=1317400978.050 | feat 2821/8157 | map   2931 | icp ok  iter 12 corr  2436 rms 0.0910   36.33 ms | p=(   24.80   -65.57   2.19) v=9.50 m/s [KF]
[lio] t=1317400978.154 | feat 2556/8160 | map   2951 | icp ok  iter  6 corr  2277 rms 0.0558   17.49 ms | p=(   24.37   -66.46   2.19) v=9.56 m/s
[lio] t=1317400978.258 | feat 2651/8150 | map   2951 | icp ok  iter  6 corr  2295 rms 0.0814   19.57 ms | p=(   23.95   -67.36   2.18) v=9.62 m/s [KF]
[lio] t=1317400978.362 | feat 2698/8147 | map   3010 | icp ok  iter  3 corr  2340 rms 0.0584    9.69 ms | p=(   23.50   -68.25   2.18) v=9.67 m/s
[lio] t=1317400978.465 | feat 3160/8154 | map   3010 | icp ok  iter  4 corr  2717 rms 0.0525   15.33 ms | p=(   23.08   -69.16   2.16) v=9.71 m/s [KF]
