[INFO] [1789097398.660271151] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789097406.416632826] [paced_bag_player]: first odometry after 17 scans; 15 consumed by initialization
[INFO] [1789097409.245738142] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 83 | skipped 15 | wall      9s (11.7 scans/s)
[INFO] [1789097467.314591527] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1483 | skipped 15 | wall     67s (22.5 scans/s)
[INFO] [1789097471.240285641] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1583 | skipped 15 | wall     71s (22.7 scans/s)
[INFO] [1789097474.607457314] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1683 | skipped 15 | wall     74s (23.0 scans/s)
[INFO] [1789097477.873396114] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1783 | skipped 15 | wall     77s (23.3 scans/s)
[INFO] [1789097482.108089224] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1883 | skipped 15 | wall     81s (23.3 scans/s)
[INFO] [1789097485.495067775] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1983 | skipped 15 | wall     85s (23.6 scans/s)
[INFO] [1789097489.064777389] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2083 | skipped 15 | wall     88s (23.8 scans/s)
[INFO] [1789097493.686972885] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2183 | skipped 15 | wall     93s (23.7 scans/s)
[INFO] [1789097497.420310748] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2283 | skipped 15 | wall     97s (23.8 scans/s)
[INFO] [1789097500.461127978] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2383 | skipped 15 | wall    100s (24.1 scans/s)
[INFO] [1789097504.273314153] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2483 | skipped 15 | wall    104s (24.1 scans/s)
[INFO] [1789097508.237422782] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2583 | skipped 15 | wall    108s (24.2 scans/s)
[INFO] [1789097512.121380956] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2683 | skipped 15 | wall    111s (24.2 scans/s)
[INFO] [1789097516.617605516] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2783 | skipped 15 | wall    116s (24.2 scans/s)
[INFO] [1789097520.976183881] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2883 | skipped 15 | wall    120s (24.1 scans/s)
[INFO] [1789097525.565096892] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2983 | skipped 15 | wall    125s (24.0 scans/s)
[INFO] [1789097529.623315062] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3083 | skipped 15 | wall    129s (24.0 scans/s)
[INFO] [1789097533.389348095] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3183 | skipped 15 | wall    133s (24.1 scans/s)
[INFO] [1789097536.685831335] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3283 | skipped 15 | wall    136s (24.3 scans/s)
[INFO] [1789097540.144417604] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3383 | skipped 15 | wall    139s (24.4 scans/s)
[INFO] [1789097543.845096716] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3483 | skipped 15 | wall    143s (24.4 scans/s)
[INFO] [1789097547.887313466] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3583 | skipped 15 | wall    147s (24.5 scans/s)
[INFO] [1789097551.940438583] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3683 | skipped 15 | wall    151s (24.5 scans/s)
[INFO] [1789097555.839296206] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3783 | skipped 15 | wall    155s (24.5 scans/s)
[INFO] [1789097559.667530564] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3883 | skipped 15 | wall    159s (24.5 scans/s)
[INFO] [1789097564.361933358] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3983 | skipped 15 | wall    164s (24.4 scans/s)
[INFO] [1789097568.990453101] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4083 | skipped 15 | wall    168s (24.4 scans/s)
[INFO] [1789097572.969324649] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4183 | skipped 15 | wall    172s (24.4 scans/s)
[INFO] [1789097576.303378710] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4283 | skipped 15 | wall    176s (24.5 scans/s)
[INFO] [1789097580.425319888] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4383 | skipped 15 | wall    180s (24.5 scans/s)
[INFO] [1789097585.492667183] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4483 | skipped 15 | wall    185s (24.3 scans/s)
[INFO] [1789097589.334402993] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4583 | skipped 15 | wall    189s (24.4 scans/s)
[INFO] [1789097592.864124780] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4683 | skipped 15 | wall    192s (24.5 scans/s)
[INFO] [1789097596.517085795] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4783 | skipped 15 | wall    196s (24.5 scans/s)
[INFO] [1789097600.409796399] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4883 | skipped 15 | wall    200s (24.5 scans/s)
[INFO] [1789097604.317286502] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4983 | skipped 15 | wall    204s (24.6 scans/s)
[INFO] [1789097608.085062012] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5083 | skipped 15 | wall    207s (24.6 scans/s)
[INFO] [1789097611.305662554] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789097616.412606281] [paced_bag_player]: finished: 5177 scans published, 5162 odometry received, 15 assumed skipped, wall 216s
