[INFO] [1789104764.371978776] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789104775.500207338] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789104780.883669413] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     14s (6.9 scans/s)
[INFO] [1789105243.085736502] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4074 | skipped 24 | wall    477s (8.6 scans/s)
[INFO] [1789105257.070556232] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4174 | skipped 24 | wall    491s (8.6 scans/s)
[INFO] [1789105266.635705060] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4274 | skipped 24 | wall    500s (8.6 scans/s)
[INFO] [1789105274.506755389] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4374 | skipped 24 | wall    508s (8.7 scans/s)
[INFO] [1789105285.548753500] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4474 | skipped 24 | wall    519s (8.7 scans/s)
[INFO] [1789105298.705416125] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4574 | skipped 24 | wall    532s (8.6 scans/s)
[INFO] [1789105307.420395775] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4674 | skipped 24 | wall    541s (8.7 scans/s)
[INFO] [1789105315.948419638] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4774 | skipped 24 | wall    550s (8.7 scans/s)
[INFO] [1789105327.055696949] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4874 | skipped 24 | wall    561s (8.7 scans/s)
[INFO] [1789105336.492729268] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4974 | skipped 24 | wall    570s (8.8 scans/s)
[INFO] [1789105344.984705073] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5074 | skipped 24 | wall    579s (8.8 scans/s)
[INFO] [1789105356.918650744] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789105362.194849400] [paced_bag_player]: finished: 5177 scans published, 5153 odometry received, 24 assumed skipped, wall 596s
