[INFO] [1789104761.208126780] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-point ICP)
[INFO] [1789104761.208203779] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789104761.208211864] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789104761.208217803] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789104761.208224988] [lidar_inertial_odometer]:   input  : voxelized points (no normal estimation)
[INFO] [1789104766.731897408] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789104775.163692964] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400971.298 | feat 7599/80280 | map  24169 | icp ok  iter 12 corr  7579 rms 0.2911   95.23 ms | p=(   38.51   -19.56   3.04) v=3.57 m/s
[lio] t=1317400971.402 | feat 7639/80134 | map  24169 | icp ok  iter 13 corr  7621 rms 0.2970  104.23 ms | p=(   38.67   -19.90   3.06) v=3.54 m/s
[lio] t=1317400971.506 | feat 7659/80110 | map  24169 | icp ok  iter 10 corr  7640 rms 0.3419   75.59 ms | p=(   38.80   -20.24   3.08) v=3.46 m/s [KF]
[lio] t=1317400971.610 | feat 7669/79793 | map  24233 | icp ok  iter 10 corr  7661 rms 0.2627   81.45 ms | p=(   38.92   -20.59   3.11) v=3.44 m/s
[lio] t=1317400971.715 | feat 7641/79580 | map  24233 | icp ok  iter 19 corr  7635 rms 0.2992  137.50 ms | p=(   39.03   -20.95   3.15) v=3.53 m/s
[lio] t=1317400971.819 | feat 7659/79608 | map  24233 | icp ok  iter 10 corr  7646 rms 0.3274   73.83 ms | p=(   39.12   -21.32   3.17) v=3.60 m/s [KF]
[lio] t=1317400971.923 | feat 7529/79475 | map  24117 | icp ok  iter  7 corr  7526 rms 0.2376   57.76 ms | p=(   39.18   -21.69   3.20) v=3.65 m/s
[lio] t=1317400972.027 | feat 7278/79593 | map  24117 | icp ok  iter 11 corr  7275 rms 0.2705   87.19 ms | p=(   39.24   -22.10   3.22) v=3.88 m/s
[lio] t=1317400972.131 | feat 7154/80218 | map  24117 | icp ok  iter  9 corr  7151 rms 0.3109   65.74 ms | p=(   39.28   -22.51   3.22) v=3.96 m/s [KF]
[lio] t=1317400972.235 | feat 7051/80671 | map  23868 | icp ok  iter 14 corr  7051 rms 0.2437  103.83 ms | p=(   39.30   -22.94   3.23) v=4.12 m/s
[lio] t=1317400972.340 | feat 6686/80944 | map  23868 | icp ok  iter  8 corr  6684 rms 0.2497   55.59 ms | p=(   39.29   -23.39   3.26) v=4.32 m/s
[lio] t=1317400972.444 | feat 6478/80887 | map  23868 | icp ok  iter 13 corr  6470 rms 0.2770   85.58 ms | p=(   39.24   -23.88   3.27) v=4.64 m/s [KF]
[lio] t=1317400972.547 | feat 6176/80988 | map  23348 | icp ok  iter  7 corr  6176 rms 0.2389   50.08 ms | p=(   39.19   -24.35   3.30) v=4.68 m/s
[lio] t=1317400972.651 | feat 5885/81399 | map  23348 | icp ok  iter  5 corr  5885 rms 0.2446   35.31 ms | p=(   39.11   -24.84   3.32) v=4.81 m/s
[lio] t=1317400972.755 | feat 5752/81994 | map  23348 | icp ok  iter  7 corr  5752 rms 0.2711   43.52 ms | p=(   39.01   -25.35   3.34) v=5.04 m/s [KF]
[lio] t=1317400972.859 | feat 5680/82379 | map  23004 | icp ok  iter  9 corr  5679 rms 0.2325   56.13 ms | p=(   38.88   -25.87   3.36) v=5.23 m/s
[lio] t=1317400972.963 | feat 5586/82617 | map  23004 | icp ok  iter  8 corr  5582 rms 0.2546   44.16 ms | p=(   38.75   -26.41   3.38) v=5.38 m/s [KF]
[lio] t=1317400973.067 | feat 5435/82491 | map  22882 | icp ok  iter 11 corr  5433 rms 0.2176   61.23 ms | p=(   38.57   -26.96   3.40) v=5.60 m/s
[lio] t=1317400973.170 | feat 5333/82607 | map  22882 | icp ok  iter  9 corr  5328 rms 0.2425   50.56 ms | p=(   38.40   -27.53   3.41) v=5.81 m/s [KF]
[lio] t=1317400973.274 | feat 5239/82551 | map  22763 | icp ok  iter  5 corr  5236 rms 0.2334   32.17 ms | p=(   38.20   -28.10   3.41) v=5.91 m/s
[lio] t=1317400973.378 | feat 5097/82877 | map  22763 | icp ok  iter  8 corr  5092 rms 0.2529   41.37 ms | p=(   37.97   -28.69   3.42) v=6.13 m/s [KF]
[lio] t=1317400973.481 | feat 5047/83014 | map  22639 | icp ok  iter  7 corr  5047 rms 0.2324   39.06 ms | p=(   37.73   -29.27   3.44) v=6.20 m/s
[lio] t=1317400973.585 | feat 5003/82963 | map  22639 | icp ok  iter 11 corr  5001 rms 0.2668   52.08 ms | p=(   37.47   -29.88   3.45) v=6.45 m/s [KF]
[lio] t=1317400973.689 | feat 5054/82772 | map  22581 | icp ok  iter 10 corr  5053 rms 0.2381   50.05 ms | p=(   37.20   -30.51   3.47) v=6.63 m/s
[lio] t=1317400973.792 | feat 4966/82332 | map  22581 | icp ok  iter 14 corr  4966 rms 0.2948   69.89 ms | p=(   36.89   -31.14   3.48) v=6.83 m/s [KF]
[lio] t=1317400973.896 | feat 5054/81950 | map  22533 | icp ok  iter 10 corr  5053 rms 0.2512   52.20 ms | p=(   36.59   -31.79   3.49) v=6.98 m/s
[lio] t=1317400974.000 | feat 4912/81278 | map  22533 | icp ok  iter 14 corr  4910 rms 0.3047   69.67 ms | p=(   36.26   -32.47   3.51) v=7.24 m/s [KF]
[lio] t=1317400974.104 | feat 4928/81019 | map  22551 | icp ok  iter  9 corr  4926 rms 0.2594   48.12 ms | p=(   35.92   -33.13   3.52) v=7.32 m/s
[lio] t=1317400974.207 | feat 4952/81095 | map  22551 | icp ok  iter 11 corr  4950 rms 0.2935   55.57 ms | p=(   35.57   -33.81   3.54) v=7.45 m/s [KF]
[lio] t=1317400974.311 | feat 4877/81606 | map  22516 | icp ok  iter 12 corr  4871 rms 0.2360   56.08 ms | p=(   35.21   -34.53   3.56) v=7.69 m/s
[lio] t=1317400974.415 | feat 4701/81636 | map  22516 | icp ok  iter 12 corr  4692 rms 0.2679   58.74 ms | p=(   34.87   -35.20   3.58) v=7.50 m/s [KF]
[lio] t=1317400974.518 | feat 4782/81437 | map  22280 | icp ok  iter 10 corr  4779 rms 0.2511   56.66 ms | p=(   34.50   -35.93   3.60) v=7.75 m/s
[lio] t=1317400974.622 | feat 4802/81631 | map  22280 | icp ok  iter  8 corr  4797 rms 0.2817   44.98 ms | p=(   34.16   -36.62   3.62) v=7.58 m/s [KF]
[lio] t=1317400974.726 | feat 4851/81616 | map  22174 | icp ok  iter 11 corr  4846 rms 0.2698   58.36 ms | p=(   33.80   -37.37   3.63) v=7.86 m/s
[lio] t=1317400974.830 | feat 4985/81853 | map  22174 | icp ok  iter 13 corr  4983 rms 0.3351   64.64 ms | p=(   33.45   -38.08   3.66) v=7.67 m/s [KF]
[lio] t=1317400974.933 | feat 4988/81837 | map  22197 | icp ok  iter 13 corr  4984 rms 0.2963   65.37 ms | p=(   33.09   -38.82   3.69) v=7.83 m/s
[lio] t=1317400975.037 | feat 5177/82047 | map  22197 | icp ok  iter 21 corr  5151 rms 0.3810  101.10 ms | p=(   32.73   -39.52   3.70) v=7.66 m/s [KF]
[lio] t=1317400975.141 | feat 5294/82158 | map  22335 | icp ok  iter 11 corr  5294 rms 0.2868   59.51 ms | p=(   32.40   -40.27   3.74) v=7.79 m/s
[lio] t=1317400975.245 | feat 5611/82020 | map  22335 | icp ok  iter 12 corr  5610 rms 0.3833   65.95 ms | p=(   32.05   -40.97   3.77) v=7.64 m/s [KF]
[lio] t=1317400975.349 | feat 5811/81529 | map  22659 | icp ok  iter 11 corr  5791 rms 0.2687   65.89 ms | p=(   31.73   -41.73   3.80) v=7.82 m/s
[lio] t=1317400975.453 | feat 6127/81528 | map  22659 | icp ok  iter  7 corr  5982 rms 0.3685   42.60 ms | p=(   31.40   -42.48   3.81) v=7.84 m/s [KF]
[lio] t=1317400975.556 | feat 6375/81271 | map  23051 | icp ok  iter 10 corr  6192 rms 0.3486   67.32 ms | p=(   31.08   -43.23   3.84) v=7.84 m/s
[lio] t=1317400975.660 | feat 6589/80483 | map  23051 | icp ok  iter  9 corr  6183 rms 0.3992   55.94 ms | p=(   30.74   -43.96   3.85) v=7.78 m/s [KF]
[lio] t=1317400975.764 | feat 6820/79837 | map  23601 | icp ok  iter 10 corr  6789 rms 0.3752   72.90 ms | p=(   30.42   -44.73   3.87) v=7.92 m/s
[lio] t=1317400975.868 | feat 7085/79795 | map  23601 | icp ok  iter 11 corr  7026 rms 0.4932   77.50 ms | p=(   30.10   -45.46   3.88) v=7.79 m/s [KF]
[lio] t=1317400975.972 | feat 7060/78452 | map  24235 | icp ok  iter 10 corr  7049 rms 0.2781   75.29 ms | p=(   29.79   -46.23   3.88) v=7.93 m/s
[lio] t=1317400976.076 | feat 7092/77903 | map  24235 | icp ok  iter  9 corr  7049 rms 0.3430   62.35 ms | p=(   29.46   -46.98   3.90) v=7.87 m/s [KF]
[lio] t=1317400976.180 | feat 7207/77350 | map  24502 | icp ok  iter 14 corr  7192 rms 0.2876   98.05 ms | p=(   29.13   -47.75   3.93) v=7.99 m/s
[lio] t=1317400976.283 | feat 7185/76938 | map  24502 | icp ok  iter  8 corr  7153 rms 0.3551   57.72 ms | p=(   28.81   -48.50   3.97) v=7.95 m/s [KF]
[lio] t=1317400976.387 | feat 7217/76107 | map  24645 | icp ok  iter  9 corr  7209 rms 0.2660   67.13 ms | p=(   28.49   -49.28   3.97) v=8.07 m/s
[lio] t=1317400976.491 | feat 6961/75366 | map  24645 | icp ok  iter  5 corr  6952 rms 0.2970   44.50 ms | p=(   28.16   -50.05   3.99) v=8.11 m/s [KF]
[lio] t=1317400976.595 | feat 6685/76742 | map  24682 | icp ok  iter  7 corr  6674 rms 0.2617   50.40 ms | p=(   27.83   -50.84   4.01) v=8.22 m/s
[lio] t=1317400976.699 | feat 6498/78356 | map  24682 | icp ok  iter  6 corr  6469 rms 0.3171   45.24 ms | p=(   27.49   -51.62   4.04) v=8.18 m/s [KF]
[lio] t=1317400976.803 | feat 6126/79241 | map  24547 | icp ok  iter 11 corr  6122 rms 0.2703   72.99 ms | p=(   27.15   -52.42   4.04) v=8.36 m/s
[lio] t=1317400976.907 | feat 5732/78646 | map  24547 | icp ok  iter 12 corr  5727 rms 0.2989   69.90 ms | p=(   26.82   -53.22   4.07) v=8.37 m/s [KF]
[lio] t=1317400977.011 | feat 5541/78955 | map  24253 | icp ok  iter  5 corr  5539 rms 0.2600   34.85 ms | p=(   26.46   -54.04   4.08) v=8.54 m/s
[lio] t=1317400977.115 | feat 5537/79681 | map  24253 | icp ok  iter 10 corr  5527 rms 0.3099   56.80 ms | p=(   26.11   -54.86   4.13) v=8.63 m/s [KF]
[lio] t=1317400977.219 | feat 5505/80415 | map  23814 | icp ok  iter  8 corr  5504 rms 0.2484   48.13 ms | p=(   25.75   -55.69   4.15) v=8.75 m/s
[lio] t=1317400977.323 | feat 5450/80958 | map  23814 | icp ok  iter  8 corr  5445 rms 0.2931   49.26 ms | p=(   25.39   -56.53   4.16) v=8.81 m/s [KF]
[lio] t=1317400977.427 | feat 5468/81049 | map  22989 | icp ok  iter 10 corr  5461 rms 0.2620   58.78 ms | p=(   25.03   -57.39   4.19) v=8.94 m/s
[lio] t=1317400977.530 | feat 5508/81119 | map  22989 | icp ok  iter 10 corr  5492 rms 0.3086   58.09 ms | p=(   24.66   -58.23   4.24) v=8.93 m/s [KF]
[lio] t=1317400977.634 | feat 5505/81021 | map  22427 | icp ok  iter  9 corr  5497 rms 0.2685   48.08 ms | p=(   24.28   -59.10   4.26) v=9.09 m/s
[lio] t=1317400977.738 | feat 5611/81292 | map  22427 | icp ok  iter  9 corr  5608 rms 0.3245   52.74 ms | p=(   23.89   -59.98   4.30) v=9.24 m/s [KF]
[lio] t=1317400977.842 | feat 5720/81766 | map  22001 | icp ok  iter  9 corr  5710 rms 0.2841   55.49 ms | p=(   23.50   -60.86   4.32) v=9.37 m/s
[lio] t=1317400977.946 | feat 5900/82049 | map  22001 | icp ok  iter  4 corr  5845 rms 0.3911   31.12 ms | p=(   23.11   -61.75   4.35) v=9.41 m/s [KF]
[lio] t=1317400978.050 | feat 6149/81764 | map  22182 | icp ok  iter 10 corr  6109 rms 0.3391   64.97 ms | p=(   22.71   -62.65   4.39) v=9.51 m/s
[lio] t=1317400978.154 | feat 6392/82114 | map  22182 | icp ok  iter 10 corr  6243 rms 0.4168   68.84 ms | p=(   22.31   -63.57   4.42) v=9.59 m/s [KF]
[lio] t=1317400978.258 | feat 6499/81807 | map  22521 | icp ok  iter  5 corr  6439 rms 0.3467   39.56 ms | p=(   21.91   -64.48   4.46) v=9.62 m/s
[lio] t=1317400978.362 | feat 6651/80786 | map  22521 | icp ok  iter 11 corr  6456 rms 0.4424   76.62 ms | p=(   21.51   -65.40   4.49) v=9.73 m/s [KF]
[lio] t=1317400978.465 | feat 6729/80586 | map  23110 | icp ok  iter  8 corr  6715 rms 0.3098   62.55 ms | p=(   21.11   -66.32   4.51) v=9.72 m/s [KF]
[lio] t=1317400978.569 | feat 6849/80613 | map  23335 | icp ok  iter 13 corr  6817 rms 0.3164   96.83 ms | p=(   20.70   -67.26   4.53) v=9.85 m/s [KF]
[lio] t=1317400978.673 | feat 6954/81103 | map  23545 | icp ok  iter 13 corr  6911 rms 0.3041   86.99 ms | p=(   20.30   -68.19   4.54) v=9.79 m/s [KF]
[lio] t=1317400978.777 | feat 6764/81411 | map  23825 | icp ok  iter 10 corr  6758 rms 0.2938   76.81 ms | p=(   19.88   -69.13   4.58) v=9.91 m/s [KF]
[lio] t=1317400978.881 | feat 6756/82079 | map  23934 | icp ok  iter  8 corr  6753 rms 0.2835   51.72 ms | p=(   19.46   -70.07   4.60) v=9.94 m/s [KF]
[lio] t=1317400978.985 | feat 6602/82146 | map  24087 | icp ok  iter 11 corr  6590 rms 0.2641   73.05 ms | p=(   19.03   -71.03   4.63) v=10.07 m/s [KF]
[lio] t=1317400979.089 | feat 6425/82277 | map  24256 | icp ok  iter 12 corr  6403 rms 0.2788   84.56 ms | p=(   18.61   -71.99   4.64) v=10.14 m/s [KF]
[lio] t=1317400979.192 | feat 6362/82787 | map  24439 | icp ok  iter 10 corr  6348 rms 0.2901   65.45 ms | p=(   18.17   -72.96   4.66) v=10.24 m/s [KF]
[lio] t=1317400979.296 | feat 6108/82566 | map  24661 | icp ok  iter 12 corr  6107 rms 0.3105   85.17 ms | p=(   17.73   -73.95   4.67) v=10.35 m/s [KF]
[lio] t=1317400979.400 | feat 5878/82674 | map  24778 | icp ok  iter  7 corr  5877 rms 0.2810   43.13 ms | p=(   17.28   -74.92   4.71) v=10.32 m/s [KF]
