[INFO] [1789097181.828523683] [lidar_inertial_odometer]: lidar_inertial_odometer ready (fused point-to-point + point-to-plane ICP)
[INFO] [1789097181.828594735] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097181.828602478] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097181.828608457] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789097181.828615629] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789097181.828621018] [lidar_inertial_odometer]:   icp    : alpha (point) 0.01, beta (plane) 1, huber 0.2 m
[INFO] [1789097187.349946800] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097195.776676145] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400968.901 | feat 1671/5652 | map   8027 | icp ok  iter  4 corr  1359 rms 0.0673    9.27 ms | p=(   29.95   -12.81   2.19) v=5.58 m/s [KF]
[lio] t=1317400969.005 | feat 1642/5665 | map   8272 | icp ok  iter  4 corr  1360 rms 0.0559    9.22 ms | p=(   30.48   -13.06   2.23) v=5.52 m/s
[lio] t=1317400969.109 | feat 1705/5790 | map   8272 | icp ok  iter  4 corr  1392 rms 0.0506    8.53 ms | p=(   30.99   -13.30   2.26) v=5.36 m/s [KF]
[lio] t=1317400969.213 | feat 1796/5877 | map   8468 | icp ok  iter  4 corr  1470 rms 0.0616   10.78 ms | p=(   31.51   -13.56   2.30) v=5.33 m/s
[lio] t=1317400969.317 | feat 1867/6027 | map   8468 | icp ok  iter  3 corr  1404 rms 0.0663    8.12 ms | p=(   32.01   -13.82   2.34) v=5.26 m/s [KF]
[lio] t=1317400969.421 | feat 1918/6099 | map   8810 | icp ok  iter  3 corr  1530 rms 0.0829    7.75 ms | p=(   32.49   -14.06   2.37) v=5.12 m/s
[lio] t=1317400969.526 | feat 1916/6075 | map   8810 | icp ok  iter  5 corr  1504 rms 0.0707   13.29 ms | p=(   32.96   -14.33   2.41) v=5.04 m/s [KF]
[lio] t=1317400969.630 | feat 1843/6024 | map   8926 | icp ok  iter  4 corr  1516 rms 0.0627    9.83 ms | p=(   33.42   -14.59   2.44) v=4.96 m/s
[lio] t=1317400969.734 | feat 1869/6102 | map   8926 | icp ok  iter  4 corr  1509 rms 0.1041   10.74 ms | p=(   33.85   -14.87   2.48) v=4.84 m/s [KF]
[lio] t=1317400969.838 | feat 1889/6067 | map   9009 | icp ok  iter  5 corr  1564 rms 0.0814   12.98 ms | p=(   34.28   -15.15   2.51) v=4.74 m/s
[lio] t=1317400969.943 | feat 2028/6168 | map   9009 | icp ok  iter  4 corr  1674 rms 0.0748   11.97 ms | p=(   34.68   -15.43   2.55) v=4.61 m/s [KF]
[lio] t=1317400970.047 | feat 2064/6330 | map   9044 | icp ok  iter  5 corr  1742 rms 0.0768   15.09 ms | p=(   35.08   -15.72   2.58) v=4.56 m/s
[lio] t=1317400970.151 | feat 2142/6577 | map   9044 | icp ok  iter  4 corr  1786 rms 0.0805   13.35 ms | p=(   35.45   -16.00   2.61) v=4.37 m/s
[lio] t=1317400970.255 | feat 2105/6818 | map   9044 | icp ok  iter  5 corr  1663 rms 0.0801   15.50 ms | p=(   35.80   -16.29   2.65) v=4.28 m/s [KF]
[lio] t=1317400970.360 | feat 2198/7007 | map   9115 | icp ok  iter  4 corr  1857 rms 0.0727   12.83 ms | p=(   36.15   -16.59   2.68) v=4.24 m/s
[lio] t=1317400970.464 | feat 2260/7102 | map   9115 | icp ok  iter  5 corr  1860 rms 0.0889   17.49 ms | p=(   36.51   -16.89   2.73) v=4.25 m/s
[lio] t=1317400970.568 | feat 2264/7123 | map   9115 | icp ok  iter  4 corr  1846 rms 0.0931   14.83 ms | p=(   36.81   -17.18   2.76) v=4.00 m/s [KF]
[lio] t=1317400970.672 | feat 2402/7276 | map   9329 | icp ok  iter  4 corr  2050 rms 0.0657   14.51 ms | p=(   37.07   -17.49   2.79) v=3.82 m/s
[lio] t=1317400970.777 | feat 2401/7333 | map   9329 | icp ok  iter  3 corr  2021 rms 0.0771   11.08 ms | p=(   37.34   -17.80   2.82) v=3.77 m/s
[lio] t=1317400970.881 | feat 2472/7380 | map   9329 | icp ok  iter  4 corr  2009 rms 0.0729   14.18 ms | p=(   37.59   -18.12   2.85) v=3.74 m/s [KF]
[lio] t=1317400970.985 | feat 2657/7422 | map   9514 | icp ok  iter  4 corr  2311 rms 0.0680   17.80 ms | p=(   37.82   -18.44   2.88) v=3.71 m/s
[lio] t=1317400971.089 | feat 2656/7514 | map   9514 | icp ok  iter  3 corr  2280 rms 0.0620   11.64 ms | p=(   38.02   -18.77   2.92) v=3.63 m/s
[lio] t=1317400971.194 | feat 2633/7475 | map   9514 | icp ok  iter  3 corr  2276 rms 0.0665   12.63 ms | p=(   38.21   -19.10   2.94) v=3.59 m/s [KF]
[lio] t=1317400971.298 | feat 2580/7595 | map   9558 | icp ok  iter  3 corr  2263 rms 0.0620   11.61 ms | p=(   38.39   -19.43   2.98) v=3.55 m/s
[lio] t=1317400971.402 | feat 2495/7635 | map   9558 | icp ok  iter  5 corr  2237 rms 0.0725   17.99 ms | p=(   38.54   -19.77   3.01) v=3.50 m/s
[lio] t=1317400971.506 | feat 2519/7662 | map   9558 | icp ok  iter  4 corr  2183 rms 0.0751   14.07 ms | p=(   38.69   -20.13   3.03) v=3.53 m/s [KF]
[lio] t=1317400971.610 | feat 2298/7672 | map   9701 | icp ok  iter  5 corr  2020 rms 0.0646   17.26 ms | p=(   38.81   -20.47   3.06) v=3.43 m/s
[lio] t=1317400971.715 | feat 2253/7636 | map   9701 | icp ok  iter  5 corr  1947 rms 0.0614   16.80 ms | p=(   38.90   -20.82   3.08) v=3.49 m/s
[lio] t=1317400971.819 | feat 2213/7664 | map   9701 | icp ok  iter  6 corr  1926 rms 0.0786   20.28 ms | p=(   39.00   -21.19   3.11) v=3.60 m/s [KF]
[lio] t=1317400971.923 | feat 2112/7532 | map   9772 | icp ok  iter  3 corr  1851 rms 0.0744   10.72 ms | p=(   39.06   -21.57   3.13) v=3.68 m/s
[lio] t=1317400972.027 | feat 2018/7279 | map   9772 | icp ok  iter  4 corr  1734 rms 0.0642   13.15 ms | p=(   39.13   -21.97   3.15) v=3.82 m/s
[lio] t=1317400972.131 | feat 1987/7150 | map   9772 | icp ok  iter  5 corr  1739 rms 0.0802   15.38 ms | p=(   39.17   -22.36   3.16) v=3.86 m/s [KF]
[lio] t=1317400972.235 | feat 2014/7053 | map   9782 | icp ok  iter  4 corr  1788 rms 0.0661   13.85 ms | p=(   39.17   -22.81   3.17) v=4.18 m/s
[lio] t=1317400972.340 | feat 1971/6686 | map   9782 | icp ok  iter  4 corr  1719 rms 0.0614   12.43 ms | p=(   39.16   -23.25   3.18) v=4.29 m/s
[lio] t=1317400972.444 | feat 1933/6480 | map   9782 | icp ok  iter  5 corr  1677 rms 0.0673   14.36 ms | p=(   39.12   -23.70   3.20) v=4.41 m/s [KF]
[lio] t=1317400972.547 | feat 1869/6182 | map   9818 | icp ok  iter  5 corr  1700 rms 0.0636   14.10 ms | p=(   39.06   -24.18   3.22) v=4.65 m/s
[lio] t=1317400972.651 | feat 1822/5887 | map   9818 | icp ok  iter  5 corr  1630 rms 0.0626   14.96 ms | p=(   38.98   -24.68   3.24) v=4.87 m/s
[lio] t=1317400972.755 | feat 1708/5746 | map   9818 | icp ok  iter  4 corr  1495 rms 0.0725   11.19 ms | p=(   38.89   -25.19   3.25) v=5.06 m/s [KF]
[lio] t=1317400972.859 | feat 1813/5679 | map   9873 | icp ok  iter  4 corr  1639 rms 0.0615   10.75 ms | p=(   38.76   -25.71   3.27) v=5.21 m/s
[lio] t=1317400972.963 | feat 1749/5587 | map   9873 | icp ok  iter  4 corr  1558 rms 0.0608   10.51 ms | p=(   38.62   -26.24   3.28) v=5.35 m/s [KF]
[lio] t=1317400973.067 | feat 1641/5439 | map   9885 | icp ok  iter  5 corr  1467 rms 0.0796   11.92 ms | p=(   38.46   -26.79   3.30) v=5.58 m/s
[lio] t=1317400973.170 | feat 1616/5332 | map   9885 | icp ok  iter  4 corr  1430 rms 0.0586   11.31 ms | p=(   38.27   -27.38   3.31) v=5.93 m/s [KF]
[lio] t=1317400973.274 | feat 1658/5240 | map   9875 | icp ok  iter  4 corr  1490 rms 0.0730   10.90 ms | p=(   38.07   -27.93   3.31) v=5.88 m/s
[lio] t=1317400973.378 | feat 1548/5097 | map   9875 | icp ok  iter  5 corr  1368 rms 0.0591   12.10 ms | p=(   37.84   -28.54   3.32) v=6.22 m/s [KF]
[lio] t=1317400973.481 | feat 1386/5051 | map   9834 | icp ok  iter  5 corr  1228 rms 0.0495   11.19 ms | p=(   37.61   -29.11   3.33) v=6.14 m/s
[lio] t=1317400973.585 | feat 1489/5004 | map   9834 | icp ok  iter  5 corr  1340 rms 0.0607   13.16 ms | p=(   37.34   -29.73   3.35) v=6.48 m/s [KF]
[lio] t=1317400973.689 | feat 1499/5055 | map   9819 | icp ok  iter  4 corr  1355 rms 0.0562    9.33 ms | p=(   37.06   -30.37   3.36) v=6.74 m/s
[lio] t=1317400973.792 | feat 1524/4963 | map   9819 | icp ok  iter  4 corr  1337 rms 0.0684    9.48 ms | p=(   36.77   -31.01   3.37) v=6.87 m/s [KF]
[lio] t=1317400973.896 | feat 1420/5058 | map   9775 | icp ok  iter  5 corr  1275 rms 0.0671   11.01 ms | p=(   36.44   -31.67   3.39) v=7.10 m/s
[lio] t=1317400974.000 | feat 1424/4907 | map   9775 | icp ok  iter  4 corr  1279 rms 0.0625    9.71 ms | p=(   36.10   -32.36   3.41) v=7.40 m/s [KF]
[lio] t=1317400974.104 | feat 1479/4929 | map   9739 | icp ok  iter  4 corr  1314 rms 0.0777    9.81 ms | p=(   35.78   -32.96   3.42) v=7.02 m/s
[lio] t=1317400974.207 | feat 1553/4946 | map   9739 | icp ok  iter  6 corr  1339 rms 0.0826   15.62 ms | p=(   35.43   -33.71   3.44) v=7.70 m/s [KF]
[lio] t=1317400974.311 | feat 1617/4868 | map   9728 | icp ok  iter  5 corr  1454 rms 0.0605   14.60 ms | p=(   35.08   -34.38   3.45) v=7.52 m/s
[lio] t=1317400974.415 | feat 1576/4707 | map   9728 | icp ok  iter  4 corr  1387 rms 0.0752   10.77 ms | p=(   34.71   -35.09   3.47) v=7.69 m/s [KF]
[lio] t=1317400974.518 | feat 1532/4778 | map   9697 | icp ok  iter  4 corr  1343 rms 0.0759   10.03 ms | p=(   34.36   -35.80   3.50) v=7.73 m/s
[lio] t=1317400974.622 | feat 1554/4802 | map   9697 | icp ok  iter  4 corr  1346 rms 0.0669    9.60 ms | p=(   34.01   -36.53   3.51) v=7.78 m/s [KF]
[lio] t=1317400974.726 | feat 1555/4843 | map   9645 | icp ok  iter  4 corr  1378 rms 0.0771    9.88 ms | p=(   33.67   -37.25   3.52) v=7.73 m/s
[lio] t=1317400974.830 | feat 1614/4982 | map   9645 | icp ok  iter  4 corr  1401 rms 0.0724   10.26 ms | p=(   33.30   -37.95   3.55) v=7.64 m/s [KF]
[lio] t=1317400974.933 | feat 1557/4989 | map   9696 | icp ok  iter  4 corr  1393 rms 0.0643    9.37 ms | p=(   32.96   -38.65   3.56) v=7.52 m/s
[lio] t=1317400975.037 | feat 1635/5177 | map   9696 | icp ok  iter  5 corr  1452 rms 0.0795   13.33 ms | p=(   32.61   -39.39   3.59) v=7.80 m/s [KF]
[lio] t=1317400975.141 | feat 1555/5298 | map   9754 | icp ok  iter  3 corr  1356 rms 0.0722    7.90 ms | p=(   32.26   -40.12   3.61) v=7.76 m/s
[lio] t=1317400975.245 | feat 1744/5610 | map   9754 | icp ok  iter  4 corr  1506 rms 0.0924   12.09 ms | p=(   31.94   -40.83   3.63) v=7.57 m/s [KF]
[lio] t=1317400975.349 | feat 1690/5813 | map   9835 | icp ok  iter  5 corr  1488 rms 0.0718   12.89 ms | p=(   31.60   -41.59   3.64) v=7.86 m/s
[lio] t=1317400975.453 | feat 1741/6130 | map   9835 | icp ok  iter  4 corr  1481 rms 0.0726   10.74 ms | p=(   31.28   -42.32   3.64) v=7.71 m/s [KF]
[lio] t=1317400975.556 | feat 1687/6384 | map   9871 | icp ok  iter  3 corr  1495 rms 0.0793    7.66 ms | p=(   30.95   -43.06   3.66) v=7.80 m/s
[lio] t=1317400975.660 | feat 1586/6585 | map   9871 | icp ok  iter  4 corr  1345 rms 0.0891   10.07 ms | p=(   30.64   -43.79   3.69) v=7.73 m/s [KF]
[lio] t=1317400975.764 | feat 1614/6824 | map   9907 | icp ok  iter  4 corr  1411 rms 0.0632    9.57 ms | p=(   30.31   -44.53   3.71) v=7.76 m/s
[lio] t=1317400975.868 | feat 1712/7095 | map   9907 | icp ok  iter  4 corr  1438 rms 0.1055   10.52 ms | p=(   29.99   -45.29   3.71) v=7.88 m/s [KF]
[lio] t=1317400975.972 | feat 1682/7058 | map   9969 | icp ok  iter  5 corr  1482 rms 0.0555   11.29 ms | p=(   29.67   -46.04   3.70) v=7.87 m/s
[lio] t=1317400976.076 | feat 1748/7099 | map   9969 | icp ok  iter  4 corr  1507 rms 0.0658   10.52 ms | p=(   29.34   -46.80   3.71) v=7.93 m/s [KF]
[lio] t=1317400976.180 | feat 1876/7200 | map   9954 | icp ok  iter  3 corr  1626 rms 0.0505    8.04 ms | p=(   29.01   -47.55   3.75) v=7.90 m/s
[lio] t=1317400976.283 | feat 1778/7188 | map   9954 | icp ok  iter  4 corr  1509 rms 0.0608   10.21 ms | p=(   28.69   -48.32   3.77) v=8.01 m/s [KF]
[lio] t=1317400976.387 | feat 1740/7213 | map   9843 | icp ok  iter  4 corr  1458 rms 0.0715   10.69 ms | p=(   28.37   -49.10   3.78) v=8.07 m/s
[lio] t=1317400976.491 | feat 1795/6962 | map   9843 | icp ok  iter  4 corr  1524 rms 0.0851    9.43 ms | p=(   28.05   -49.87   3.79) v=8.10 m/s [KF]
[lio] t=1317400976.595 | feat 1821/6683 | map   9740 | icp ok  iter  4 corr  1561 rms 0.0619   10.83 ms | p=(   27.71   -50.66   3.81) v=8.24 m/s
[lio] t=1317400976.699 | feat 1685/6501 | map   9740 | icp ok  iter  4 corr  1406 rms 0.0747    9.72 ms | p=(   27.38   -51.46   3.84) v=8.29 m/s [KF]
[lio] t=1317400976.803 | feat 1689/6137 | map   9565 | icp ok  iter  4 corr  1423 rms 0.0633    8.95 ms | p=(   27.04   -52.24   3.85) v=8.26 m/s
[lio] t=1317400976.907 | feat 1559/5722 | map   9565 | icp ok  iter  3 corr  1287 rms 0.0590    6.81 ms | p=(   26.70   -53.05   3.87) v=8.47 m/s [KF]
[lio] t=1317400977.011 | feat 1637/5547 | map   9340 | icp ok  iter  4 corr  1395 rms 0.0597    9.30 ms | p=(   26.35   -53.85   3.88) v=8.46 m/s
[lio] t=1317400977.115 | feat 1730/5539 | map   9340 | icp ok  iter  4 corr  1458 rms 0.0832   11.12 ms | p=(   25.99   -54.69   3.91) v=8.70 m/s [KF]
[lio] t=1317400977.219 | feat 1675/5508 | map   9096 | icp ok  iter  5 corr  1420 rms 0.0598   12.65 ms | p=(   25.64   -55.50   3.94) v=8.66 m/s
[lio] t=1317400977.323 | feat 1674/5447 | map   9096 | icp ok  iter  4 corr  1380 rms 0.0648   10.01 ms | p=(   25.27   -56.34   3.95) v=8.83 m/s [KF]
[lio] t=1317400977.427 | feat 1650/5462 | map   8944 | icp ok  iter  5 corr  1371 rms 0.0627   11.63 ms | p=(   24.91   -57.20   3.98) v=8.96 m/s
[lio] t=1317400977.530 | feat 1779/5508 | map   8944 | icp ok  iter  4 corr  1497 rms 0.0833   10.33 ms | p=(   24.53   -58.06   4.02) v=9.05 m/s [KF]
[lio] t=1317400977.634 | feat 1805/5504 | map   8909 | icp ok  iter  4 corr  1530 rms 0.0680   11.66 ms | p=(   24.15   -58.93   4.04) v=9.17 m/s
[lio] t=1317400977.738 | feat 1803/5607 | map   8909 | icp ok  iter  4 corr  1524 rms 0.0593    9.89 ms | p=(   23.77   -59.79   4.06) v=9.12 m/s [KF]
[lio] t=1317400977.842 | feat 1751/5724 | map   8847 | icp ok  iter  5 corr  1480 rms 0.0567   12.19 ms | p=(   23.38   -60.66   4.09) v=9.21 m/s
[lio] t=1317400977.946 | feat 1737/5907 | map   8847 | icp ok  iter  3 corr  1461 rms 0.0623    7.67 ms | p=(   22.98   -61.56   4.11) v=9.45 m/s [KF]
[lio] t=1317400978.050 | feat 1814/6151 | map   8896 | icp ok  iter  6 corr  1541 rms 0.0606   15.00 ms | p=(   22.58   -62.45   4.13) v=9.48 m/s
[lio] t=1317400978.154 | feat 1966/6393 | map   8896 | icp ok  iter  4 corr  1618 rms 0.0623   12.41 ms | p=(   22.20   -63.36   4.17) v=9.54 m/s [KF]
[lio] t=1317400978.258 | feat 1895/6501 | map   8955 | icp ok  iter  4 corr  1606 rms 0.0690    9.57 ms | p=(   21.79   -64.27   4.18) v=9.60 m/s
[lio] t=1317400978.362 | feat 1899/6651 | map   8955 | icp ok  iter  4 corr  1533 rms 0.0641   10.34 ms | p=(   21.39   -65.19   4.21) v=9.69 m/s [KF]
[lio] t=1317400978.465 | feat 2000/6727 | map   9093 | icp ok  iter  4 corr  1687 rms 0.0708   12.06 ms | p=(   20.98   -66.11   4.23) v=9.74 m/s [KF]
[lio] t=1317400978.569 | feat 1855/6846 | map   9188 | icp ok  iter  4 corr  1507 rms 0.0616   11.05 ms | p=(   20.58   -67.04   4.25) v=9.78 m/s [KF]
[lio] t=1317400978.673 | feat 2025/6961 | map   9241 | icp ok  iter  4 corr  1666 rms 0.0685   11.46 ms | p=(   20.17   -67.98   4.26) v=9.90 m/s [KF]
[lio] t=1317400978.777 | feat 2014/6762 | map   9316 | icp ok  iter  4 corr  1679 rms 0.0642   11.30 ms | p=(   19.76   -68.93   4.29) v=9.94 m/s [KF]
[lio] t=1317400978.881 | feat 2268/6749 | map   9432 | icp ok  iter  5 corr  1919 rms 0.0735   14.52 ms | p=(   19.34   -69.89   4.31) v=10.10 m/s [KF]
[lio] t=1317400978.985 | feat 2181/6602 | map   9572 | icp ok  iter  5 corr  1789 rms 0.0613   15.05 ms | p=(   18.91   -70.84   4.33) v=10.12 m/s [KF]
[lio] t=1317400979.089 | feat 2422/6426 | map   9654 | icp ok  iter  4 corr  2047 rms 0.0567   13.64 ms | p=(   18.47   -71.82   4.34) v=10.26 m/s [KF]
[lio] t=1317400979.192 | feat 2349/6372 | map   9791 | icp ok  iter  4 corr  1968 rms 0.1034   14.54 ms | p=(   18.04   -72.80   4.35) v=10.35 m/s [KF]
