[INFO] [1789097621.051448268] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789097628.808897148] [paced_bag_player]: first odometry after 17 scans; 15 consumed by initialization
[INFO] [1789097636.303127388] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 83 | skipped 15 | wall     13s (7.6 scans/s)
[INFO] [1789097872.056289141] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2583 | skipped 15 | wall    249s (10.4 scans/s)
[INFO] [1789097881.369804151] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2683 | skipped 15 | wall    258s (10.5 scans/s)
[INFO] [1789097891.652945247] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2783 | skipped 15 | wall    269s (10.4 scans/s)
[INFO] [1789097901.909078650] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2883 | skipped 15 | wall    279s (10.4 scans/s)
[INFO] [1789097912.410888745] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2983 | skipped 15 | wall    289s (10.4 scans/s)
[INFO] [1789097922.381743819] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3083 | skipped 15 | wall    299s (10.4 scans/s)
[INFO] [1789097930.663439168] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3183 | skipped 15 | wall    308s (10.4 scans/s)
[INFO] [1789097938.989789388] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3283 | skipped 15 | wall    316s (10.4 scans/s)
[INFO] [1789097947.815030961] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3383 | skipped 15 | wall    325s (10.5 scans/s)
[INFO] [1789097956.219024952] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3483 | skipped 15 | wall    333s (10.5 scans/s)
[INFO] [1789097965.196342301] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3583 | skipped 15 | wall    342s (10.5 scans/s)
[INFO] [1789097974.947076516] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3683 | skipped 15 | wall    352s (10.5 scans/s)
[INFO] [1789097984.262448405] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3783 | skipped 15 | wall    361s (10.5 scans/s)
[INFO] [1789097993.675507754] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3883 | skipped 15 | wall    371s (10.5 scans/s)
[INFO] [1789098003.278922604] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3983 | skipped 15 | wall    380s (10.5 scans/s)
[INFO] [1789098014.024243767] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4083 | skipped 15 | wall    391s (10.5 scans/s)
[INFO] [1789098024.186664913] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4183 | skipped 15 | wall    401s (10.5 scans/s)
[INFO] [1789098032.520448281] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4283 | skipped 15 | wall    409s (10.5 scans/s)
[INFO] [1789098041.151787391] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4383 | skipped 15 | wall    418s (10.5 scans/s)
[INFO] [1789098050.475086291] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4483 | skipped 15 | wall    427s (10.5 scans/s)
[INFO] [1789098059.752472226] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4583 | skipped 15 | wall    437s (10.5 scans/s)
[INFO] [1789098068.574766141] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4683 | skipped 15 | wall    446s (10.5 scans/s)
[INFO] [1789098077.169359371] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4783 | skipped 15 | wall    454s (10.6 scans/s)
[INFO] [1789098086.455980044] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4883 | skipped 15 | wall    463s (10.6 scans/s)
[INFO] [1789098095.703242861] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4983 | skipped 15 | wall    473s (10.6 scans/s)
[INFO] [1789098104.378967827] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5083 | skipped 15 | wall    481s (10.6 scans/s)
[INFO] [1789098112.584541503] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789098117.827508385] [paced_bag_player]: finished: 5177 scans published, 5162 odometry received, 15 assumed skipped, wall 495s
