[INFO] [1789098119.323686397] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-point ICP)
[INFO] [1789098119.323825512] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789098119.323834789] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789098119.323840992] [lidar_inertial_odometer]:   ring   : selection=all band=[16,47] -> 32/64 ch (dropped 16 above + 16 below)
[INFO] [1789098119.323848039] [lidar_inertial_odometer]:   input  : voxelized points (no normal estimation)
[INFO] [1789098124.844418102] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789098129.904541426] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317400965.470 | feat 2810/55782 | map   5358 | icp ok  iter  8 corr  2809 rms 0.3134   19.95 ms | p=(    2.30    -1.11   0.14) v=7.59 m/s
[lio] t=1317400965.574 | feat 2928/57223 | map   5358 | icp ok  iter 11 corr  2910 rms 0.4234   29.44 ms | p=(    3.00    -1.50   0.18) v=7.69 m/s [KF]
[lio] t=1317400965.678 | feat 2975/57945 | map   5950 | icp ok  iter  9 corr  2975 rms 0.3010   23.55 ms | p=(    3.69    -1.88   0.22) v=7.74 m/s
[lio] t=1317400965.782 | feat 3002/58020 | map   5950 | icp ok  iter 22 corr  2987 rms 0.4584   62.30 ms | p=(    4.37    -2.23   0.25) v=7.59 m/s [KF]
[lio] t=1317400965.885 | feat 3026/58264 | map   6520 | icp ok  iter 11 corr  3026 rms 0.2520   34.26 ms | p=(    5.07    -2.59   0.29) v=7.60 m/s
[lio] t=1317400965.989 | feat 3123/57553 | map   6520 | icp ok  iter  6 corr  3123 rms 0.3718   20.84 ms | p=(    5.78    -2.95   0.34) v=7.71 m/s [KF]
[lio] t=1317400966.093 | feat 3148/57216 | map   7088 | icp ok  iter 10 corr  3145 rms 0.2325   30.07 ms | p=(    6.50    -3.32   0.37) v=7.74 m/s
[lio] t=1317400966.197 | feat 3155/56086 | map   7088 | icp ok  iter 24 corr  3148 rms 0.2937   77.55 ms | p=(    7.27    -3.69   0.41) v=8.00 m/s [KF]
[lio] t=1317400966.301 | feat 3101/55332 | map   7615 | icp ok  iter  9 corr  3101 rms 0.2087   26.29 ms | p=(    8.01    -4.05   0.45) v=7.89 m/s
[lio] t=1317400966.405 | feat 2982/54909 | map   7615 | icp ok  iter 11 corr  2981 rms 0.2680   31.14 ms | p=(    8.76    -4.41   0.48) v=7.97 m/s [KF]
[lio] t=1317400966.509 | feat 2800/55095 | map   7985 | icp ok  iter  8 corr  2800 rms 0.2529   20.71 ms | p=(    9.49    -4.77   0.52) v=7.82 m/s
[lio] t=1317400966.613 | feat 2719/54225 | map   7985 | icp ok  iter  8 corr  2719 rms 0.3188   20.13 ms | p=(   10.23    -5.12   0.55) v=7.82 m/s [KF]
[lio] t=1317400966.716 | feat 2580/53228 | map   8321 | icp ok  iter 10 corr  2580 rms 0.1986   25.44 ms | p=(   10.96    -5.47   0.59) v=7.77 m/s
[lio] t=1317400966.820 | feat 2478/51810 | map   8321 | icp ok  iter 14 corr  2478 rms 0.2445   35.54 ms | p=(   11.67    -5.81   0.62) v=7.59 m/s [KF]
[lio] t=1317400966.924 | feat 2450/49877 | map   8627 | icp ok  iter  7 corr  2448 rms 0.2529   16.27 ms | p=(   12.40    -6.14   0.66) v=7.61 m/s
[lio] t=1317400967.028 | feat 2456/48280 | map   8627 | icp ok  iter 14 corr  2452 rms 0.3822   31.39 ms | p=(   13.12    -6.49   0.68) v=7.58 m/s [KF]
[lio] t=1317400967.132 | feat 2459/47818 | map   8938 | icp ok  iter  7 corr  2455 rms 0.2749   17.91 ms | p=(   13.84    -6.83   0.72) v=7.58 m/s
[lio] t=1317400967.236 | feat 2429/47101 | map   8938 | icp ok  iter  7 corr  2420 rms 0.3896   15.99 ms | p=(   14.56    -7.15   0.75) v=7.54 m/s [KF]
[lio] t=1317400967.340 | feat 2418/47077 | map   9295 | icp ok  iter  7 corr  2418 rms 0.2214   17.01 ms | p=(   15.29    -7.49   0.78) v=7.53 m/s
[lio] t=1317400967.444 | feat 2424/46829 | map   9295 | icp ok  iter 11 corr  2424 rms 0.2906   26.40 ms | p=(   16.02    -7.83   0.81) v=7.56 m/s [KF]
[lio] t=1317400967.548 | feat 2472/46644 | map   9657 | icp ok  iter  9 corr  2472 rms 0.2073   19.47 ms | p=(   16.71    -8.16   0.85) v=7.36 m/s
[lio] t=1317400967.652 | feat 2449/46815 | map   9657 | icp ok  iter 12 corr  2439 rms 0.2995   28.77 ms | p=(   17.44    -8.49   0.88) v=7.42 m/s [KF]
[lio] t=1317400967.756 | feat 2419/47209 | map  10003 | icp ok  iter  9 corr  2418 rms 0.2230   23.50 ms | p=(   18.18    -8.84   0.91) v=7.61 m/s
[lio] t=1317400967.860 | feat 2406/48708 | map  10003 | icp ok  iter  8 corr  2394 rms 0.2786   18.61 ms | p=(   18.88    -9.16   0.94) v=7.33 m/s [KF]
[lio] t=1317400967.964 | feat 2424/50595 | map  10325 | icp ok  iter 10 corr  2424 rms 0.2221   22.47 ms | p=(   19.59    -9.48   0.97) v=7.28 m/s
[lio] t=1317400968.068 | feat 2449/51716 | map  10325 | icp ok  iter 15 corr  2445 rms 0.3456   34.91 ms | p=(   20.28    -9.80   1.00) v=7.22 m/s [KF]
[lio] t=1317400968.172 | feat 2515/52259 | map  10672 | icp ok  iter  8 corr  2515 rms 0.2325   19.51 ms | p=(   20.97   -10.10   1.03) v=7.12 m/s
[lio] t=1317400968.276 | feat 2513/52517 | map  10672 | icp ok  iter 36 corr  2513 rms 0.3626   90.90 ms | p=(   21.71   -10.44   1.06) v=7.44 m/s [KF]
[lio] t=1317400968.380 | feat 2543/52395 | map  11082 | icp ok  iter 13 corr  2543 rms 0.2265   33.25 ms | p=(   22.39   -10.75   1.10) v=7.16 m/s
[lio] t=1317400968.484 | feat 2654/52816 | map  11082 | icp ok  iter  7 corr  2654 rms 0.3196   18.97 ms | p=(   23.07   -11.05   1.13) v=7.03 m/s [KF]
[lio] t=1317400968.588 | feat 2717/52705 | map  11507 | icp ok  iter 17 corr  2717 rms 0.2426   49.67 ms | p=(   23.75   -11.36   1.16) v=7.03 m/s
[lio] t=1317400968.693 | feat 2722/52747 | map  11507 | icp ok  iter 41 corr  2716 rms 0.3125  126.72 ms | p=(   24.17   -11.56   1.18) v=5.33 m/s [KF]
[lio] t=1317400968.797 | feat 2812/52396 | map  11869 | icp ok  iter 19 corr  2812 rms 0.2134   61.12 ms | p=(   24.60   -11.76   1.20) v=4.74 m/s
[lio] t=1317400968.901 | feat 2837/52261 | map  11869 | icp ok  iter 31 corr  2837 rms 0.3125  105.70 ms | p=(   25.28   -12.01   1.23) v=5.99 m/s [KF]
[lio] t=1317400969.005 | feat 2832/52740 | map  12226 | icp ok  iter 23 corr  2832 rms 0.1957   76.70 ms | p=(   25.82   -12.35   1.25) v=5.97 m/s
[lio] t=1317400969.109 | feat 2857/53330 | map  12226 | icp ok  iter 37 corr  2852 rms 0.2916  115.52 ms | p=(   26.22   -12.51   1.27) v=4.74 m/s [KF]
[lio] t=1317400969.213 | feat 2956/54309 | map  12535 | icp ok  iter 35 corr  2953 rms 0.2240  130.85 ms | p=(   26.88   -12.85   1.30) v=6.13 m/s
[lio] t=1317400969.317 | feat 2998/55355 | map  12535 | icp ok  iter 28 corr  2977 rms 0.3436   85.73 ms | p=(   27.48   -13.20   1.33) v=6.31 m/s [KF]
[lio] t=1317400969.421 | feat 3073/56991 | map  12895 | icp ok  iter  8 corr  3073 rms 0.2122   32.03 ms | p=(   28.01   -13.51   1.35) v=5.98 m/s
[lio] t=1317400969.526 | feat 3142/57804 | map  12895 | icp ok  iter 42 corr  3142 rms 0.2452  138.85 ms | p=(   28.38   -13.70   1.36) v=4.73 m/s [KF]
[lio] t=1317400969.630 | feat 3099/58279 | map  13252 | icp ok  iter 11 corr  3096 rms 0.1889   45.19 ms | p=(   28.84   -14.00   1.38) v=4.94 m/s
[lio] t=1317400969.734 | feat 3069/58576 | map  13252 | icp ok  iter 10 corr  3065 rms 0.2471   25.68 ms | p=(   29.26   -14.29   1.40) v=4.83 m/s [KF]
[lio] t=1317400969.838 | feat 3084/58707 | map  13530 | icp ok  iter 24 corr  3084 rms 0.1929   70.42 ms | p=(   29.71   -14.61   1.42) v=4.98 m/s
[lio] t=1317400969.943 | feat 3089/58912 | map  13530 | icp ok  iter 33 corr  3089 rms 0.2722  100.13 ms | p=(   30.07   -14.87   1.43) v=4.44 m/s
[lio] t=1317400970.047 | feat 3113/58933 | map  13530 | icp ok  iter 16 corr  3111 rms 0.3685   45.97 ms | p=(   30.43   -15.17   1.45) v=4.40 m/s [KF]
[lio] t=1317400970.151 | feat 3171/58967 | map  12577 | icp ok  iter 17 corr  3163 rms 0.2486   58.08 ms | p=(   30.83   -15.49   1.47) v=4.61 m/s
[lio] t=1317400970.255 | feat 3303/59103 | map  12577 | icp ok  iter 19 corr  3274 rms 0.3512   65.13 ms | p=(   31.14   -15.77   1.49) v=4.16 m/s
[lio] t=1317400970.360 | feat 3472/59349 | map  12577 | icp ok  iter 22 corr  3435 rms 0.4168   76.58 ms | p=(   31.47   -16.05   1.51) v=4.09 m/s [KF]
[lio] t=1317400970.464 | feat 3511/59439 | map  12476 | icp ok  iter 17 corr  3503 rms 0.2034   55.22 ms | p=(   31.77   -16.34   1.53) v=3.87 m/s
[lio] t=1317400970.568 | feat 3550/59719 | map  12476 | icp ok  iter 22 corr  3540 rms 0.2583   86.94 ms | p=(   32.11   -16.68   1.55) v=4.25 m/s
[lio] t=1317400970.672 | feat 3646/59977 | map  12476 | icp ok  iter 13 corr  3619 rms 0.3418   43.79 ms | p=(   32.39   -17.02   1.57) v=4.12 m/s [KF]
[lio] t=1317400970.777 | feat 3683/60081 | map  12521 | icp ok  iter 16 corr  3683 rms 0.2100   56.27 ms | p=(   32.64   -17.34   1.59) v=3.91 m/s
[lio] t=1317400970.881 | feat 3701/60195 | map  12521 | icp ok  iter 20 corr  3700 rms 0.2910   70.52 ms | p=(   32.84   -17.66   1.60) v=3.67 m/s
[lio] t=1317400970.985 | feat 3674/59970 | map  12521 | icp ok  iter 23 corr  3672 rms 0.3691   86.75 ms | p=(   33.10   -18.02   1.62) v=3.98 m/s [KF]
[lio] t=1317400971.089 | feat 3739/59716 | map  12632 | icp ok  iter 15 corr  3739 rms 0.2034   64.60 ms | p=(   33.26   -18.36   1.64) v=3.69 m/s
[lio] t=1317400971.194 | feat 3717/59548 | map  12632 | icp ok  iter 28 corr  3717 rms 0.2144  103.84 ms | p=(   33.49   -18.69   1.66) v=3.74 m/s
[lio] t=1317400971.298 | feat 3699/59307 | map  12632 | icp ok  iter 24 corr  3699 rms 0.2355   89.20 ms | p=(   33.67   -19.08   1.68) v=3.91 m/s [KF]
[lio] t=1317400971.402 | feat 3803/59037 | map  12632 | icp ok  iter 13 corr  3803 rms 0.1777   53.65 ms | p=(   33.82   -19.41   1.70) v=3.65 m/s
[lio] t=1317400971.506 | feat 3785/58726 | map  12632 | icp ok  iter 19 corr  3785 rms 0.1959   64.78 ms | p=(   33.95   -19.78   1.71) v=3.64 m/s
[lio] t=1317400971.610 | feat 3764/58158 | map  12632 | icp ok  iter 23 corr  3764 rms 0.2125   79.20 ms | p=(   34.03   -20.13   1.72) v=3.53 m/s [KF]
[lio] t=1317400971.715 | feat 3803/57653 | map  12516 | icp ok  iter 50 corr  3802 rms 0.1923  202.45 ms | p=(   34.12   -20.48   1.73) v=3.48 m/s
[lio] t=1317400971.819 | feat 3781/57278 | map  12516 | icp ok  iter 36 corr  3773 rms 0.2397  144.40 ms | p=(   34.15   -20.88   1.74) v=3.74 m/s
[lio] t=1317400971.923 | feat 3679/56961 | map  12516 | icp ok  iter 34 corr  3668 rms 0.2500  120.78 ms | p=(   34.21   -21.25   1.74) v=3.71 m/s [KF]
[lio] t=1317400972.027 | feat 3637/56750 | map  12367 | icp ok  iter 34 corr  3637 rms 0.1810  127.57 ms | p=(   34.29   -21.68   1.74) v=4.06 m/s
[lio] t=1317400972.131 | feat 3558/56661 | map  12367 | icp ok  iter 10 corr  3558 rms 0.1768   41.32 ms | p=(   34.32   -22.01   1.74) v=3.58 m/s
[lio] t=1317400972.235 | feat 3432/56301 | map  12367 | icp ok  iter 32 corr  3432 rms 0.2091  131.09 ms | p=(   34.38   -22.55   1.74) v=4.67 m/s [KF]
[lio] t=1317400972.340 | feat 3343/55925 | map  12028 | icp ok  iter 50 corr  3343 rms 0.1845  190.55 ms | p=(   34.35   -22.92   1.74) v=4.07 m/s
[lio] t=1317400972.444 | feat 3299/55527 | map  12028 | icp ok  iter 27 corr  3299 rms 0.2073   91.45 ms | p=(   34.31   -23.41   1.74) v=4.57 m/s
[lio] t=1317400972.547 | feat 3236/55292 | map  12028 | icp ok  iter 19 corr  3236 rms 0.2018   62.54 ms | p=(   34.27   -23.85   1.75) v=4.49 m/s [KF]
[lio] t=1317400972.651 | feat 3163/55015 | map  11662 | icp ok  iter 12 corr  3163 rms 0.1758   42.07 ms | p=(   34.16   -24.31   1.75) v=4.64 m/s
[lio] t=1317400972.755 | feat 3129/55880 | map  11662 | icp ok  iter 21 corr  3129 rms 0.1933   68.72 ms | p=(   34.05   -24.85   1.75) v=5.12 m/s [KF]
[lio] t=1317400972.859 | feat 3053/56085 | map  11340 | icp ok  iter 20 corr  3053 rms 0.1827   66.63 ms | p=(   33.94   -25.31   1.75) v=4.93 m/s
[lio] t=1317400972.963 | feat 2939/56319 | map  11340 | icp ok  iter 18 corr  2939 rms 0.2007   57.63 ms | p=(   33.77   -25.86   1.76) v=5.41 m/s [KF]
[lio] t=1317400973.067 | feat 2802/56371 | map  11122 | icp ok  iter 33 corr  2802 rms 0.1765  113.16 ms | p=(   33.46   -26.53   1.75) v=6.57 m/s
[lio] t=1317400973.170 | feat 2676/56957 | map  11122 | icp ok  iter 19 corr  2673 rms 0.2030   58.48 ms | p=(   33.27   -27.12   1.74) v=6.35 m/s [KF]
[lio] t=1317400973.274 | feat 2583/57472 | map  10905 | icp ok  iter 26 corr  2583 rms 0.1923   66.76 ms | p=(   33.05   -27.71   1.72) v=6.31 m/s
[lio] t=1317400973.378 | feat 2376/57467 | map  10905 | icp ok  iter 20 corr  2376 rms 0.2049   55.66 ms | p=(   32.78   -28.28   1.71) v=6.28 m/s [KF]
[lio] t=1317400973.481 | feat 2367/57395 | map  10733 | icp ok  iter 50 corr  2367 rms 0.1918  120.06 ms | p=(   32.55   -28.81   1.72) v=6.01 m/s
[lio] t=1317400973.585 | feat 2338/57505 | map  10733 | icp ok  iter 17 corr  2338 rms 0.2253   45.36 ms | p=(   32.26   -29.40   1.71) v=6.35 m/s [KF]
[lio] t=1317400973.689 | feat 2271/57542 | map  10592 | icp ok  iter 23 corr  2271 rms 0.2131   60.84 ms | p=(   31.94   -30.08   1.70) v=7.01 m/s
[lio] t=1317400973.792 | feat 2243/57237 | map  10592 | icp ok  iter 50 corr  2241 rms 0.3225  133.60 ms | p=(   31.74   -30.52   1.70) v=5.66 m/s [KF]
[lio] t=1317400973.896 | feat 2199/56285 | map  10508 | icp ok  iter 23 corr  2199 rms 0.2384   60.59 ms | p=(   31.36   -31.19   1.69) v=6.87 m/s
[lio] t=1317400974.000 | feat 2191/55364 | map  10508 | icp ok  iter 35 corr  2191 rms 0.3663   78.50 ms | p=(   31.07   -31.77   1.69) v=6.60 m/s [KF]
[lio] t=1317400974.104 | feat 2180/54834 | map  10485 | icp ok  iter 20 corr  2180 rms 0.2442   47.09 ms | p=(   30.71   -32.47   1.69) v=7.36 m/s
[lio] t=1317400974.207 | feat 2210/55287 | map  10485 | icp ok  iter 18 corr  2210 rms 0.3158   42.12 ms | p=(   30.33   -33.17   1.68) v=7.66 m/s [KF]
[lio] t=1317400974.311 | feat 2218/55456 | map  10472 | icp ok  iter  8 corr  2217 rms 0.2739   16.10 ms | p=(   29.94   -33.88   1.68) v=7.82 m/s
[lio] t=1317400974.415 | feat 2232/54832 | map  10472 | icp ok  iter 13 corr  2232 rms 0.3692   28.70 ms | p=(   29.57   -34.57   1.68) v=7.74 m/s [KF]
[lio] t=1317400974.518 | feat 2289/53649 | map  10516 | icp ok  iter  9 corr  2289 rms 0.2626   21.50 ms | p=(   29.21   -35.27   1.68) v=7.71 m/s
[lio] t=1317400974.622 | feat 2374/52455 | map  10516 | icp ok  iter 11 corr  2373 rms 0.3933   26.57 ms | p=(   28.84   -35.97   1.67) v=7.68 m/s [KF]
[lio] t=1317400974.726 | feat 2410/50766 | map  10633 | icp ok  iter 11 corr  2410 rms 0.2590   26.55 ms | p=(   28.45   -36.69   1.67) v=7.87 m/s
[lio] t=1317400974.830 | feat 2506/50197 | map  10633 | icp ok  iter 10 corr  2506 rms 0.3873   25.34 ms | p=(   28.08   -37.40   1.67) v=7.78 m/s [KF]
[lio] t=1317400974.933 | feat 2580/49737 | map  10745 | icp ok  iter 26 corr  2580 rms 0.2125   77.70 ms | p=(   27.75   -38.01   1.68) v=7.10 m/s
[lio] t=1317400975.037 | feat 2675/50502 | map  10745 | icp ok  iter 50 corr  2675 rms 0.2778  142.57 ms | p=(   27.44   -38.54   1.68) v=6.38 m/s [KF]
[lio] t=1317400975.141 | feat 2777/51578 | map  10894 | icp ok  iter 35 corr  2777 rms 0.2354  103.83 ms | p=(   27.04   -39.28   1.67) v=7.48 m/s
[lio] t=1317400975.245 | feat 2887/52650 | map  10894 | icp ok  iter 14 corr  2887 rms 0.3035   43.99 ms | p=(   26.72   -39.95   1.67) v=7.26 m/s [KF]
[lio] t=1317400975.349 | feat 2996/54025 | map  11041 | icp ok  iter 14 corr  2996 rms 0.1997   42.02 ms | p=(   26.36   -40.68   1.66) v=7.60 m/s
[lio] t=1317400975.453 | feat 3071/55505 | map  11041 | icp ok  iter  9 corr  3071 rms 0.2879   26.74 ms | p=(   26.00   -41.40   1.64) v=7.72 m/s [KF]
[lio] t=1317400975.556 | feat 3156/56780 | map  11165 | icp ok  iter 12 corr  3146 rms 0.2354   37.24 ms | p=(   25.64   -42.12   1.63) v=7.79 m/s
[lio] t=1317400975.660 | feat 3203/57435 | map  11165 | icp ok  iter 35 corr  3165 rms 0.3831  128.26 ms | p=(   25.17   -43.11   1.60) v=9.50 m/s [KF]
[lio] t=1317400975.764 | feat 3260/57569 | map  11371 | icp ok  iter 26 corr  3241 rms 0.3042   96.50 ms | p=(   24.86   -43.76   1.59) v=7.94 m/s
[lio] t=1317400975.868 | feat 3260/57324 | map  11371 | icp ok  iter 35 corr  3181 rms 0.4619  133.58 ms | p=(   24.62   -44.29   1.57) v=6.57 m/s [KF]
[lio] t=1317400975.972 | feat 3214/54184 | map  11716 | icp ok  iter 26 corr  3211 rms 0.2568  106.66 ms | p=(   24.14   -45.28   1.54) v=9.07 m/s [KF]
[lio] t=1317400976.076 | feat 3116/52127 | map  11864 | icp ok  iter 14 corr  3115 rms 0.2223   52.22 ms | p=(   23.79   -45.98   1.54) v=8.14 m/s
[lio] t=1317400976.180 | feat 2988/49701 | map  11864 | icp ok  iter  9 corr  2987 rms 0.3388   25.73 ms | p=(   23.43   -46.74   1.54) v=8.12 m/s [KF]
[lio] t=1317400976.283 | feat 3019/48032 | map  11938 | icp ok  iter  9 corr  3019 rms 0.2934   27.35 ms | p=(   23.08   -47.47   1.52) v=8.00 m/s
[lio] t=1317400976.387 | feat 2930/45123 | map  11938 | icp ok  iter 11 corr  2930 rms 0.3865   30.61 ms | p=(   22.73   -48.20   1.50) v=7.89 m/s [KF]
[lio] t=1317400976.491 | feat 2844/42965 | map  12176 | icp ok  iter 16 corr  2844 rms 0.2035   48.85 ms | p=(   22.41   -48.88   1.49) v=7.56 m/s
[lio] t=1317400976.595 | feat 2768/43656 | map  12176 | icp ok  iter 10 corr  2768 rms 0.2569   27.85 ms | p=(   22.06   -49.62   1.48) v=7.82 m/s [KF]
[lio] t=1317400976.699 | feat 2723/45320 | map  12283 | icp ok  iter 17 corr  2721 rms 0.2617   44.62 ms | p=(   21.68   -50.42   1.47) v=8.31 m/s
[lio] t=1317400976.803 | feat 2645/46584 | map  12283 | icp ok  iter 20 corr  2627 rms 0.4544   65.00 ms | p=(   21.20   -51.41   1.45) v=9.77 m/s [KF]
[lio] t=1317400976.907 | feat 2546/46507 | map  12431 | icp ok  iter 14 corr  2545 rms 0.3185   42.84 ms | p=(   20.84   -52.16   1.43) v=8.74 m/s
[lio] t=1317400977.011 | feat 2415/47702 | map  12431 | icp ok  iter 13 corr  2410 rms 0.4631   34.00 ms | p=(   20.48   -52.91   1.42) v=8.36 m/s [KF]
[lio] t=1317400977.115 | feat 2425/49105 | map  12342 | icp ok  iter 16 corr  2425 rms 0.2437   39.26 ms | p=(   20.12   -53.64   1.42) v=8.14 m/s
[lio] t=1317400977.219 | feat 2447/49800 | map  12342 | icp ok  iter  7 corr  2447 rms 0.3616   15.44 ms | p=(   19.75   -54.41   1.41) v=8.26 m/s [KF]
[lio] t=1317400977.323 | feat 2504/50834 | map  12183 | icp ok  iter 28 corr  2504 rms 0.2339   75.45 ms | p=(   19.41   -55.15   1.40) v=8.07 m/s
[lio] t=1317400977.427 | feat 2468/51530 | map  12183 | icp ok  iter 50 corr  2468 rms 0.2956  143.30 ms | p=(   18.92   -56.19   1.39) v=9.99 m/s [KF]
[lio] t=1317400977.530 | feat 2543/51023 | map  12123 | icp ok  iter 35 corr  2538 rms 0.3147   92.38 ms | p=(   18.43   -57.22   1.38) v=10.63 m/s [KF]
[lio] t=1317400977.634 | feat 2592/50804 | map  12174 | icp ok  iter 19 corr  2591 rms 0.3135   46.21 ms | p=(   17.94   -58.23   1.36) v=10.84 m/s [KF]
[lio] t=1317400977.738 | feat 2682/50963 | map  12175 | icp ok  iter 26 corr  2680 rms 0.2405   90.41 ms | p=(   17.55   -59.03   1.35) v=9.50 m/s
[lio] t=1317400977.842 | feat 2704/52383 | map  12175 | icp ok  iter  6 corr  2704 rms 0.3081   19.51 ms | p=(   17.10   -59.93   1.33) v=9.73 m/s [KF]
[lio] t=1317400977.946 | feat 2830/53443 | map  12130 | icp ok  iter 18 corr  2828 rms 0.2090   56.45 ms | p=(   16.68   -60.80   1.32) v=9.54 m/s
[lio] t=1317400978.050 | feat 2878/54746 | map  12130 | icp ok  iter 13 corr  2875 rms 0.2743   40.75 ms | p=(   16.22   -61.72   1.30) v=9.84 m/s [KF]
[lio] t=1317400978.154 | feat 2986/56611 | map  12150 | icp ok  iter 26 corr  2986 rms 0.2380   88.62 ms | p=(   15.84   -62.55   1.29) v=9.29 m/s
[lio] t=1317400978.258 | feat 3072/56950 | map  12150 | icp ok  iter 18 corr  3068 rms 0.4271   60.54 ms | p=(   15.36   -63.51   1.26) v=10.00 m/s [KF]
[lio] t=1317400978.362 | feat 3188/56083 | map  12401 | icp ok  iter 36 corr  3176 rms 0.3183  127.70 ms | p=(   14.99   -64.31   1.25) v=9.14 m/s
[lio] t=1317400978.465 | feat 3202/55704 | map  12401 | icp ok  iter 14 corr  3186 rms 0.4260   52.79 ms | p=(   14.51   -65.31   1.21) v=10.14 m/s [KF]
