[INFO] [1789104081.553537444] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-plane ICP)
[INFO] [1789104081.553613840] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789104081.553622125] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789104081.553628363] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789104081.553635722] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789104087.081139235] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789104095.514447028] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400966.924 | feat 1470/5349 | map   5814 | icp ok  iter  3 corr  1248 rms 0.0680    5.35 ms | p=(   17.37    -7.85   1.31) v=7.81 m/s
[lio] t=1317400967.028 | feat 1451/5323 | map   5814 | icp ok  iter  3 corr  1193 rms 0.0567    5.68 ms | p=(   18.12    -8.14   1.36) v=7.70 m/s [KF]
[lio] t=1317400967.132 | feat 1472/5312 | map   6036 | icp ok  iter  5 corr  1221 rms 0.0477    8.46 ms | p=(   18.88    -8.44   1.42) v=7.74 m/s
[lio] t=1317400967.236 | feat 1566/5282 | map   6036 | icp ok  iter  4 corr  1304 rms 0.0897    7.88 ms | p=(   19.63    -8.73   1.46) v=7.61 m/s [KF]
[lio] t=1317400967.340 | feat 1566/5308 | map   6310 | icp ok  iter  4 corr  1318 rms 0.0525    8.00 ms | p=(   20.37    -9.01   1.51) v=7.51 m/s
[lio] t=1317400967.444 | feat 1555/5375 | map   6310 | icp ok  iter  4 corr  1289 rms 0.0494    7.53 ms | p=(   21.10    -9.29   1.56) v=7.45 m/s [KF]
[lio] t=1317400967.548 | feat 1589/5337 | map   6529 | icp ok  iter  3 corr  1312 rms 0.0495    5.74 ms | p=(   21.80    -9.57   1.62) v=7.19 m/s
[lio] t=1317400967.652 | feat 1643/5385 | map   6529 | icp ok  iter  4 corr  1363 rms 0.0695    7.38 ms | p=(   22.52    -9.84   1.67) v=7.18 m/s [KF]
[lio] t=1317400967.756 | feat 1571/5384 | map   6783 | icp ok  iter  3 corr  1316 rms 0.0379    5.76 ms | p=(   23.20   -10.09   1.71) v=6.93 m/s
[lio] t=1317400967.860 | feat 1641/5524 | map   6783 | icp ok  iter  3 corr  1356 rms 0.0541    5.72 ms | p=(   23.88   -10.35   1.76) v=6.81 m/s [KF]
[lio] t=1317400967.964 | feat 1648/5532 | map   6960 | icp ok  iter  3 corr  1362 rms 0.0500    5.97 ms | p=(   24.55   -10.61   1.81) v=6.77 m/s
[lio] t=1317400968.068 | feat 1816/5685 | map   6960 | icp ok  iter  4 corr  1425 rms 0.0544    8.70 ms | p=(   25.19   -10.86   1.85) v=6.55 m/s [KF]
[lio] t=1317400968.172 | feat 1777/5641 | map   7276 | icp ok  iter  5 corr  1515 rms 0.0517   11.46 ms | p=(   25.83   -11.11   1.89) v=6.46 m/s
[lio] t=1317400968.276 | feat 1779/5683 | map   7276 | icp ok  iter  3 corr  1478 rms 0.0553    7.31 ms | p=(   26.46   -11.35   1.94) v=6.33 m/s [KF]
[lio] t=1317400968.380 | feat 1736/5610 | map   7521 | icp ok  iter  4 corr  1433 rms 0.0517    7.39 ms | p=(   27.09   -11.60   1.98) v=6.34 m/s
[lio] t=1317400968.484 | feat 1740/5480 | map   7521 | icp ok  iter  4 corr  1434 rms 0.0959    8.52 ms | p=(   27.68   -11.85   2.03) v=6.09 m/s [KF]
[lio] t=1317400968.588 | feat 1672/5545 | map   7768 | icp ok  iter  3 corr  1363 rms 0.0615    6.35 ms | p=(   28.25   -12.08   2.07) v=5.80 m/s
[lio] t=1317400968.693 | feat 1746/5480 | map   7768 | icp ok  iter  3 corr  1399 rms 0.0535    6.52 ms | p=(   28.84   -12.33   2.11) v=5.95 m/s [KF]
[lio] t=1317400968.797 | feat 1877/5658 | map   8001 | icp ok  iter  3 corr  1606 rms 0.0522    6.92 ms | p=(   29.40   -12.57   2.15) v=5.78 m/s
[lio] t=1317400968.901 | feat 1672/5653 | map   8001 | icp ok  iter  4 corr  1366 rms 0.0610    6.84 ms | p=(   29.94   -12.81   2.19) v=5.58 m/s [KF]
[lio] t=1317400969.005 | feat 1629/5663 | map   8256 | icp ok  iter  3 corr  1363 rms 0.0414    5.20 ms | p=(   30.47   -13.06   2.22) v=5.51 m/s
[lio] t=1317400969.109 | feat 1703/5790 | map   8256 | icp ok  iter  5 corr  1387 rms 0.0413    9.06 ms | p=(   30.99   -13.30   2.26) v=5.35 m/s [KF]
[lio] t=1317400969.213 | feat 1793/5876 | map   8455 | icp ok  iter  3 corr  1472 rms 0.0542    6.93 ms | p=(   31.50   -13.56   2.30) v=5.35 m/s
[lio] t=1317400969.317 | feat 1874/6028 | map   8455 | icp ok  iter  3 corr  1414 rms 0.0590    6.20 ms | p=(   32.00   -13.82   2.34) v=5.25 m/s [KF]
[lio] t=1317400969.421 | feat 1920/6099 | map   8801 | icp ok  iter  4 corr  1545 rms 0.0790    8.71 ms | p=(   32.48   -14.06   2.37) v=5.13 m/s
[lio] t=1317400969.526 | feat 1907/6074 | map   8801 | icp ok  iter  5 corr  1495 rms 0.0647   10.52 ms | p=(   32.95   -14.32   2.41) v=5.05 m/s [KF]
[lio] t=1317400969.630 | feat 1858/6025 | map   8914 | icp ok  iter  4 corr  1527 rms 0.0587    7.94 ms | p=(   33.41   -14.59   2.44) v=4.96 m/s
[lio] t=1317400969.734 | feat 1864/6101 | map   8914 | icp ok  iter  4 corr  1506 rms 0.1004    8.30 ms | p=(   33.84   -14.87   2.48) v=4.84 m/s [KF]
[lio] t=1317400969.838 | feat 1880/6067 | map   8998 | icp ok  iter  5 corr  1559 rms 0.0767   10.40 ms | p=(   34.27   -15.14   2.51) v=4.75 m/s
[lio] t=1317400969.943 | feat 2028/6168 | map   8998 | icp ok  iter  6 corr  1677 rms 0.0686   14.26 ms | p=(   34.67   -15.43   2.55) v=4.61 m/s [KF]
[lio] t=1317400970.047 | feat 2039/6330 | map   9040 | icp ok  iter  4 corr  1721 rms 0.0705    9.91 ms | p=(   35.07   -15.72   2.58) v=4.56 m/s
[lio] t=1317400970.151 | feat 2142/6577 | map   9040 | icp ok  iter  4 corr  1782 rms 0.0763    9.76 ms | p=(   35.44   -15.99   2.61) v=4.37 m/s
[lio] t=1317400970.255 | feat 2101/6817 | map   9040 | icp ok  iter  4 corr  1665 rms 0.0740    9.79 ms | p=(   35.80   -16.29   2.65) v=4.28 m/s [KF]
[lio] t=1317400970.360 | feat 2201/7004 | map   9105 | icp ok  iter  3 corr  1846 rms 0.0684    8.51 ms | p=(   36.14   -16.59   2.68) v=4.26 m/s
[lio] t=1317400970.464 | feat 2263/7102 | map   9105 | icp ok  iter  4 corr  1867 rms 0.0820   11.49 ms | p=(   36.50   -16.88   2.73) v=4.25 m/s
[lio] t=1317400970.568 | feat 2263/7124 | map   9105 | icp ok  iter  4 corr  1841 rms 0.0832   11.14 ms | p=(   36.80   -17.18   2.76) v=4.00 m/s [KF]
[lio] t=1317400970.672 | feat 2395/7276 | map   9326 | icp ok  iter  3 corr  2041 rms 0.0616    9.60 ms | p=(   37.07   -17.49   2.79) v=3.81 m/s
[lio] t=1317400970.777 | feat 2367/7335 | map   9326 | icp ok  iter  4 corr  1988 rms 0.0623   11.41 ms | p=(   37.33   -17.80   2.82) v=3.77 m/s
[lio] t=1317400970.881 | feat 2471/7381 | map   9326 | icp ok  iter  4 corr  2005 rms 0.0678   11.56 ms | p=(   37.58   -18.11   2.85) v=3.73 m/s [KF]
[lio] t=1317400970.985 | feat 2659/7422 | map   9513 | icp ok  iter  4 corr  2316 rms 0.0630   12.83 ms | p=(   37.81   -18.44   2.88) v=3.71 m/s
[lio] t=1317400971.089 | feat 2648/7515 | map   9513 | icp ok  iter  4 corr  2277 rms 0.0541   11.16 ms | p=(   38.01   -18.76   2.92) v=3.63 m/s
[lio] t=1317400971.194 | feat 2632/7476 | map   9513 | icp ok  iter  4 corr  2276 rms 0.0595   13.15 ms | p=(   38.20   -19.10   2.94) v=3.58 m/s [KF]
[lio] t=1317400971.298 | feat 2580/7595 | map   9557 | icp ok  iter  4 corr  2263 rms 0.0558   12.47 ms | p=(   38.38   -19.43   2.98) v=3.55 m/s
[lio] t=1317400971.402 | feat 2496/7634 | map   9557 | icp ok  iter  4 corr  2237 rms 0.0670   13.07 ms | p=(   38.53   -19.77   3.00) v=3.49 m/s
[lio] t=1317400971.506 | feat 2522/7661 | map   9557 | icp ok  iter  4 corr  2188 rms 0.0696   12.38 ms | p=(   38.68   -20.12   3.03) v=3.54 m/s [KF]
[lio] t=1317400971.610 | feat 2297/7672 | map   9712 | icp ok  iter  7 corr  2019 rms 0.0588   18.58 ms | p=(   38.80   -20.46   3.06) v=3.43 m/s
[lio] t=1317400971.715 | feat 2255/7635 | map   9712 | icp ok  iter 12 corr  1947 rms 0.0560   35.09 ms | p=(   38.90   -20.82   3.08) v=3.49 m/s
[lio] t=1317400971.819 | feat 2213/7664 | map   9712 | icp ok  iter  4 corr  1933 rms 0.0725   11.27 ms | p=(   38.99   -21.19   3.10) v=3.61 m/s [KF]
[lio] t=1317400971.923 | feat 2104/7533 | map   9792 | icp ok  iter  3 corr  1846 rms 0.0681    8.61 ms | p=(   39.05   -21.57   3.13) v=3.67 m/s
[lio] t=1317400972.027 | feat 2004/7277 | map   9792 | icp ok  iter  5 corr  1723 rms 0.0575   12.08 ms | p=(   39.12   -21.96   3.14) v=3.79 m/s
[lio] t=1317400972.131 | feat 1966/7154 | map   9792 | icp ok  iter  3 corr  1737 rms 0.0754    7.06 ms | p=(   39.16   -22.36   3.16) v=3.88 m/s [KF]
[lio] t=1317400972.235 | feat 2032/7051 | map   9806 | icp ok  iter  4 corr  1809 rms 0.0686   10.36 ms | p=(   39.16   -22.80   3.16) v=4.16 m/s
[lio] t=1317400972.340 | feat 1970/6688 | map   9806 | icp ok  iter  4 corr  1719 rms 0.0559    9.75 ms | p=(   39.15   -23.24   3.18) v=4.30 m/s
[lio] t=1317400972.444 | feat 1946/6477 | map   9806 | icp ok  iter  4 corr  1693 rms 0.0653    9.15 ms | p=(   39.11   -23.70   3.19) v=4.42 m/s [KF]
[lio] t=1317400972.547 | feat 1878/6181 | map   9844 | icp ok  iter  4 corr  1706 rms 0.0595   10.80 ms | p=(   39.06   -24.18   3.22) v=4.65 m/s
[lio] t=1317400972.651 | feat 1834/5886 | map   9844 | icp ok  iter  4 corr  1648 rms 0.0561    9.75 ms | p=(   38.98   -24.67   3.23) v=4.85 m/s
[lio] t=1317400972.755 | feat 1695/5747 | map   9844 | icp ok  iter  4 corr  1486 rms 0.0650    8.29 ms | p=(   38.87   -25.18   3.25) v=5.06 m/s [KF]
[lio] t=1317400972.859 | feat 1835/5680 | map   9899 | icp ok  iter  3 corr  1659 rms 0.0550    6.79 ms | p=(   38.75   -25.71   3.26) v=5.23 m/s
[lio] t=1317400972.963 | feat 1746/5587 | map   9899 | icp ok  iter  4 corr  1554 rms 0.0564    8.57 ms | p=(   38.61   -26.23   3.28) v=5.35 m/s [KF]
[lio] t=1317400973.067 | feat 1640/5441 | map   9915 | icp ok  iter  4 corr  1466 rms 0.0765    7.97 ms | p=(   38.45   -26.79   3.30) v=5.58 m/s
[lio] t=1317400973.170 | feat 1610/5334 | map   9915 | icp ok  iter  3 corr  1420 rms 0.0544    6.19 ms | p=(   38.26   -27.38   3.30) v=5.92 m/s [KF]
[lio] t=1317400973.274 | feat 1657/5239 | map   9898 | icp ok  iter  4 corr  1502 rms 0.0693    9.12 ms | p=(   38.06   -27.93   3.30) v=5.90 m/s
[lio] t=1317400973.378 | feat 1542/5098 | map   9898 | icp ok  iter  5 corr  1363 rms 0.0540    9.78 ms | p=(   37.83   -28.54   3.32) v=6.25 m/s [KF]
[lio] t=1317400973.481 | feat 1411/5054 | map   9853 | icp ok  iter  6 corr  1248 rms 0.0475    9.82 ms | p=(   37.61   -29.09   3.33) v=6.03 m/s
[lio] t=1317400973.585 | feat 1521/5008 | map   9853 | icp ok  iter  4 corr  1384 rms 0.0596    7.91 ms | p=(   37.33   -29.74   3.34) v=6.60 m/s [KF]
[lio] t=1317400973.689 | feat 1511/5056 | map   9833 | icp ok  iter  3 corr  1366 rms 0.0481    5.86 ms | p=(   37.05   -30.36   3.36) v=6.71 m/s
[lio] t=1317400973.792 | feat 1506/4966 | map   9833 | icp ok  iter  5 corr  1319 rms 0.0619    9.16 ms | p=(   36.76   -31.00   3.37) v=6.85 m/s [KF]
[lio] t=1317400973.896 | feat 1413/5054 | map   9788 | icp ok  iter  6 corr  1257 rms 0.0669   10.38 ms | p=(   36.43   -31.66   3.38) v=7.08 m/s
[lio] t=1317400974.000 | feat 1415/4908 | map   9788 | icp ok  iter  5 corr  1270 rms 0.0733    8.89 ms | p=(   36.10   -32.34   3.40) v=7.36 m/s [KF]
[lio] t=1317400974.104 | feat 1459/4927 | map   9737 | icp ok  iter  5 corr  1292 rms 0.0690    9.29 ms | p=(   35.77   -32.96   3.41) v=7.06 m/s
[lio] t=1317400974.207 | feat 1549/4945 | map   9737 | icp ok  iter  5 corr  1337 rms 0.0872    9.47 ms | p=(   35.42   -33.70   3.43) v=7.66 m/s [KF]
[lio] t=1317400974.311 | feat 1618/4865 | map   9724 | icp ok  iter  5 corr  1448 rms 0.0559   10.32 ms | p=(   35.07   -34.37   3.45) v=7.56 m/s
[lio] t=1317400974.415 | feat 1551/4703 | map   9724 | icp ok  iter  5 corr  1368 rms 0.0669   10.34 ms | p=(   34.70   -35.07   3.46) v=7.64 m/s [KF]
[lio] t=1317400974.518 | feat 1546/4780 | map   9693 | icp ok  iter  4 corr  1350 rms 0.0722    8.52 ms | p=(   34.35   -35.79   3.49) v=7.73 m/s
[lio] t=1317400974.622 | feat 1565/4803 | map   9693 | icp ok  iter  6 corr  1357 rms 0.0630   11.56 ms | p=(   34.00   -36.52   3.50) v=7.80 m/s [KF]
[lio] t=1317400974.726 | feat 1525/4842 | map   9649 | icp ok  iter  5 corr  1350 rms 0.0780    9.40 ms | p=(   33.67   -37.23   3.51) v=7.63 m/s
[lio] t=1317400974.830 | feat 1620/4982 | map   9649 | icp ok  iter  3 corr  1408 rms 0.0711    6.79 ms | p=(   33.29   -37.94   3.54) v=7.70 m/s [KF]
[lio] t=1317400974.933 | feat 1581/4992 | map   9688 | icp ok  iter  3 corr  1408 rms 0.0582    6.39 ms | p=(   32.95   -38.65   3.56) v=7.63 m/s
[lio] t=1317400975.037 | feat 1619/5169 | map   9688 | icp ok  iter  6 corr  1434 rms 0.0760   13.26 ms | p=(   32.60   -39.38   3.58) v=7.75 m/s [KF]
[lio] t=1317400975.141 | feat 1577/5293 | map   9737 | icp ok  iter  4 corr  1363 rms 0.0673    7.59 ms | p=(   32.26   -40.11   3.60) v=7.73 m/s
[lio] t=1317400975.245 | feat 1747/5610 | map   9737 | icp ok  iter  3 corr  1513 rms 0.0965    6.46 ms | p=(   31.93   -40.82   3.62) v=7.59 m/s [KF]
[lio] t=1317400975.349 | feat 1707/5811 | map   9812 | icp ok  iter  4 corr  1507 rms 0.0607    8.65 ms | p=(   31.59   -41.57   3.64) v=7.81 m/s
[lio] t=1317400975.453 | feat 1768/6132 | map   9812 | icp ok  iter  7 corr  1513 rms 0.0662   15.75 ms | p=(   31.28   -42.30   3.63) v=7.70 m/s [KF]
[lio] t=1317400975.556 | feat 1678/6384 | map   9847 | icp ok  iter  4 corr  1478 rms 0.0546    8.80 ms | p=(   30.95   -43.05   3.66) v=7.78 m/s
[lio] t=1317400975.660 | feat 1602/6586 | map   9847 | icp ok  iter  5 corr  1359 rms 0.0722    9.89 ms | p=(   30.63   -43.78   3.68) v=7.77 m/s [KF]
[lio] t=1317400975.764 | feat 1616/6824 | map   9892 | icp ok  iter  4 corr  1415 rms 0.0559    7.67 ms | p=(   30.30   -44.53   3.70) v=7.78 m/s
[lio] t=1317400975.868 | feat 1712/7095 | map   9892 | icp ok  iter  4 corr  1438 rms 0.0994    9.02 ms | p=(   29.98   -45.29   3.70) v=7.89 m/s [KF]
[lio] t=1317400975.972 | feat 1678/7061 | map   9967 | icp ok  iter  5 corr  1480 rms 0.0434    9.79 ms | p=(   29.66   -46.03   3.69) v=7.86 m/s
[lio] t=1317400976.076 | feat 1753/7098 | map   9967 | icp ok  iter  4 corr  1509 rms 0.0603    7.99 ms | p=(   29.33   -46.79   3.70) v=7.93 m/s [KF]
[lio] t=1317400976.180 | feat 1872/7201 | map   9941 | icp ok  iter  3 corr  1624 rms 0.0457    6.72 ms | p=(   29.01   -47.54   3.74) v=7.92 m/s
[lio] t=1317400976.283 | feat 1782/7185 | map   9941 | icp ok  iter  6 corr  1516 rms 0.0539   11.89 ms | p=(   28.68   -48.31   3.76) v=7.99 m/s [KF]
[lio] t=1317400976.387 | feat 1714/7214 | map   9833 | icp ok  iter  4 corr  1465 rms 0.0673    8.09 ms | p=(   28.36   -49.09   3.77) v=8.08 m/s
[lio] t=1317400976.491 | feat 1797/6964 | map   9833 | icp ok  iter  3 corr  1520 rms 0.0808    6.01 ms | p=(   28.04   -49.86   3.78) v=8.12 m/s [KF]
[lio] t=1317400976.595 | feat 1819/6686 | map   9712 | icp ok  iter  3 corr  1562 rms 0.0694    6.74 ms | p=(   27.70   -50.65   3.80) v=8.22 m/s
[lio] t=1317400976.699 | feat 1681/6500 | map   9712 | icp ok  iter  5 corr  1404 rms 0.0679    9.72 ms | p=(   27.37   -51.45   3.83) v=8.31 m/s [KF]
[lio] t=1317400976.803 | feat 1689/6137 | map   9554 | icp ok  iter  4 corr  1419 rms 0.0649    7.16 ms | p=(   27.04   -52.23   3.84) v=8.26 m/s
[lio] t=1317400976.907 | feat 1571/5720 | map   9554 | icp ok  iter  5 corr  1301 rms 0.0512    9.38 ms | p=(   26.69   -53.04   3.86) v=8.46 m/s [KF]
[lio] t=1317400977.011 | feat 1627/5547 | map   9326 | icp ok  iter  5 corr  1388 rms 0.0548    8.58 ms | p=(   26.35   -53.84   3.87) v=8.47 m/s
[lio] t=1317400977.115 | feat 1734/5538 | map   9326 | icp ok  iter  3 corr  1455 rms 0.0701    6.62 ms | p=(   25.98   -54.68   3.90) v=8.71 m/s [KF]
[lio] t=1317400977.219 | feat 1676/5508 | map   9090 | icp ok  iter  4 corr  1429 rms 0.0584    8.79 ms | p=(   25.63   -55.49   3.92) v=8.66 m/s
[lio] t=1317400977.323 | feat 1674/5447 | map   9090 | icp ok  iter  4 corr  1387 rms 0.0571    7.66 ms | p=(   25.27   -56.34   3.94) v=8.83 m/s [KF]
[lio] t=1317400977.427 | feat 1672/5463 | map   8936 | icp ok  iter  4 corr  1391 rms 0.0742    7.23 ms | p=(   24.90   -57.20   3.97) v=9.00 m/s
[lio] t=1317400977.530 | feat 1775/5510 | map   8936 | icp ok  iter  4 corr  1499 rms 0.0775    8.33 ms | p=(   24.52   -58.05   4.00) v=9.02 m/s [KF]
[lio] t=1317400977.634 | feat 1798/5508 | map   8879 | icp ok  iter  4 corr  1532 rms 0.0634    8.76 ms | p=(   24.14   -58.92   4.02) v=9.14 m/s
[lio] t=1317400977.738 | feat 1825/5611 | map   8879 | icp ok  iter  5 corr  1545 rms 0.0504   10.06 ms | p=(   23.76   -59.78   4.05) v=9.13 m/s [KF]
[lio] t=1317400977.842 | feat 1755/5724 | map   8813 | icp ok  iter  6 corr  1482 rms 0.0522   11.28 ms | p=(   23.38   -60.65   4.07) v=9.21 m/s
[lio] t=1317400977.946 | feat 1755/5908 | map   8813 | icp ok  iter  4 corr  1486 rms 0.0583    8.38 ms | p=(   22.98   -61.55   4.09) v=9.44 m/s [KF]
[lio] t=1317400978.050 | feat 1810/6150 | map   8870 | icp ok  iter  4 corr  1541 rms 0.0523    7.74 ms | p=(   22.58   -62.44   4.12) v=9.48 m/s
[lio] t=1317400978.154 | feat 1956/6391 | map   8870 | icp ok  iter  4 corr  1614 rms 0.0541    9.17 ms | p=(   22.19   -63.35   4.15) v=9.53 m/s [KF]
[lio] t=1317400978.258 | feat 1874/6506 | map   8933 | icp ok  iter  3 corr  1587 rms 0.0642    6.69 ms | p=(   21.78   -64.26   4.17) v=9.63 m/s [KF]
[lio] t=1317400978.362 | feat 1889/6648 | map   9011 | icp ok  iter  4 corr  1584 rms 0.0579    8.62 ms | p=(   21.38   -65.19   4.20) v=9.70 m/s [KF]
[lio] t=1317400978.465 | feat 1990/6727 | map   9052 | icp ok  iter  5 corr  1684 rms 0.0690   11.58 ms | p=(   20.98   -66.10   4.21) v=9.71 m/s [KF]
[lio] t=1317400978.569 | feat 1868/6847 | map   9112 | icp ok  iter  5 corr  1547 rms 0.0515   10.59 ms | p=(   20.58   -67.03   4.23) v=9.74 m/s [KF]
[lio] t=1317400978.673 | feat 2025/6959 | map   9157 | icp ok  iter  3 corr  1668 rms 0.0598    8.19 ms | p=(   20.17   -67.98   4.24) v=9.92 m/s [KF]
[lio] t=1317400978.777 | feat 2008/6760 | map   9286 | icp ok  iter  3 corr  1668 rms 0.0591    7.67 ms | p=(   19.76   -68.92   4.28) v=9.94 m/s [KF]
[lio] t=1317400978.881 | feat 2278/6751 | map   9371 | icp ok  iter  5 corr  1935 rms 0.0716   12.35 ms | p=(   19.33   -69.88   4.29) v=10.09 m/s [KF]
[lio] t=1317400978.985 | feat 2201/6603 | map   9515 | icp ok  iter  5 corr  1821 rms 0.0573   11.52 ms | p=(   18.90   -70.84   4.31) v=10.16 m/s [KF]
[lio] t=1317400979.089 | feat 2388/6422 | map   9620 | icp ok  iter  4 corr  2025 rms 0.0518   10.78 ms | p=(   18.47   -71.81   4.32) v=10.26 m/s [KF]
[lio] t=1317400979.192 | feat 2344/6371 | map   9705 | icp ok  iter  4 corr  1966 rms 0.1000   10.28 ms | p=(   18.04   -72.80   4.33) v=10.34 m/s [KF]
[lio] t=1317400979.296 | feat 2127/6101 | map   9817 | icp ok  iter  4 corr  1743 rms 0.0493   10.18 ms | p=(   17.60   -73.76   4.35) v=10.25 m/s [KF]
[lio] t=1317400979.400 | feat 2168/5877 | map   9767 | icp ok  iter  4 corr  1806 rms 0.0423    9.31 ms | p=(   17.15   -74.75   4.37) v=10.34 m/s [KF]
