[INFO] [1789104084.721931003] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789104095.844633189] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789104097.745493051] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     11s (9.1 scans/s)
[INFO] [1789104216.407390636] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3274 | skipped 24 | wall    130s (25.4 scans/s)
[INFO] [1789104218.800224424] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3374 | skipped 24 | wall    132s (25.7 scans/s)
[INFO] [1789104221.245993760] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3474 | skipped 24 | wall    135s (26.0 scans/s)
[INFO] [1789104223.984972579] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3574 | skipped 24 | wall    137s (26.2 scans/s)
[INFO] [1789104227.539850748] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3674 | skipped 24 | wall    141s (26.3 scans/s)
[INFO] [1789104230.642295970] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3774 | skipped 24 | wall    144s (26.4 scans/s)
[INFO] [1789104234.208729240] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3874 | skipped 24 | wall    147s (26.4 scans/s)
[INFO] [1789104238.459152714] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3974 | skipped 24 | wall    152s (26.4 scans/s)
[INFO] [1789104243.291653925] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4074 | skipped 24 | wall    157s (26.2 scans/s)
[INFO] [1789104247.712939562] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4174 | skipped 24 | wall    161s (26.1 scans/s)
[INFO] [1789104250.509179230] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4274 | skipped 24 | wall    164s (26.3 scans/s)
[INFO] [1789104253.326237207] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4374 | skipped 24 | wall    167s (26.4 scans/s)
[INFO] [1789104256.633364650] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4474 | skipped 24 | wall    170s (26.5 scans/s)
[INFO] [1789104260.046339561] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4574 | skipped 24 | wall    173s (26.5 scans/s)
[INFO] [1789104262.768363035] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4674 | skipped 24 | wall    176s (26.7 scans/s)
[INFO] [1789104265.329526364] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4774 | skipped 24 | wall    179s (26.9 scans/s)
[INFO] [1789104268.722956485] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4874 | skipped 24 | wall    182s (26.9 scans/s)
[INFO] [1789104271.964335651] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4974 | skipped 24 | wall    185s (27.0 scans/s)
[INFO] [1789104275.219939226] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5074 | skipped 24 | wall    188s (27.1 scans/s)
[INFO] [1789104279.082376460] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789104284.188774852] [paced_bag_player]: finished: 5177 scans published, 5153 odometry received, 24 assumed skipped, wall 197s
