[INFO] [1789098666.165911749] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789098677.284164798] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789098679.132942458] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     11s (9.1 scans/s)
[INFO] [1789098752.021773882] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2074 | skipped 24 | wall     84s (25.0 scans/s)
[INFO] [1789098756.614997080] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2174 | skipped 24 | wall     88s (24.9 scans/s)
[INFO] [1789098759.317102224] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2274 | skipped 24 | wall     91s (25.2 scans/s)
[INFO] [1789098761.641357010] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2374 | skipped 24 | wall     93s (25.7 scans/s)
[INFO] [1789098765.126626288] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2474 | skipped 24 | wall     97s (25.8 scans/s)
[INFO] [1789098768.478818376] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2574 | skipped 24 | wall    100s (25.9 scans/s)
[INFO] [1789098771.982312236] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2674 | skipped 24 | wall    104s (26.0 scans/s)
[INFO] [1789098777.086169776] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2774 | skipped 24 | wall    109s (25.7 scans/s)
[INFO] [1789098782.247617101] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2874 | skipped 24 | wall    114s (25.4 scans/s)
[INFO] [1789098787.769467394] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2974 | skipped 24 | wall    120s (25.1 scans/s)
[INFO] [1789098791.529394342] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3074 | skipped 24 | wall    123s (25.1 scans/s)
[INFO] [1789098793.824113420] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3174 | skipped 24 | wall    126s (25.5 scans/s)
[INFO] [1789098796.208427427] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3274 | skipped 24 | wall    128s (25.8 scans/s)
[INFO] [1789098798.471873426] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3374 | skipped 24 | wall    130s (26.1 scans/s)
[INFO] [1789098800.777132709] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3474 | skipped 24 | wall    133s (26.4 scans/s)
[INFO] [1789098803.344091902] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3574 | skipped 24 | wall    135s (26.6 scans/s)
[INFO] [1789098806.762552683] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3674 | skipped 24 | wall    139s (26.7 scans/s)
[INFO] [1789098809.758215378] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3774 | skipped 24 | wall    142s (26.8 scans/s)
[INFO] [1789098813.131336810] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3874 | skipped 24 | wall    145s (26.9 scans/s)
[INFO] [1789098817.158365178] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3974 | skipped 24 | wall    149s (26.9 scans/s)
[INFO] [1789098821.882154900] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4074 | skipped 24 | wall    154s (26.7 scans/s)
[INFO] [1789098826.120216551] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4174 | skipped 24 | wall    158s (26.6 scans/s)
[INFO] [1789098828.703837782] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4274 | skipped 24 | wall    161s (26.8 scans/s)
[INFO] [1789098831.282624025] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4374 | skipped 24 | wall    163s (27.0 scans/s)
[INFO] [1789098834.224768300] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4474 | skipped 24 | wall    166s (27.1 scans/s)
[INFO] [1789098837.419812623] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4574 | skipped 24 | wall    169s (27.2 scans/s)
[INFO] [1789098839.937026000] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4674 | skipped 24 | wall    172s (27.4 scans/s)
[INFO] [1789098842.365101000] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4774 | skipped 24 | wall    174s (27.6 scans/s)
[INFO] [1789098845.657782129] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4874 | skipped 24 | wall    177s (27.6 scans/s)
[INFO] [1789098848.765893156] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4974 | skipped 24 | wall    181s (27.7 scans/s)
[INFO] [1789098851.773753881] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5074 | skipped 24 | wall    184s (27.8 scans/s)
[INFO] [1789098855.277400086] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789098860.395015099] [paced_bag_player]: finished: 5177 scans published, 5153 odometry received, 24 assumed skipped, wall 192s
