[INFO] [1789098663.004232884] [lidar_inertial_odometer]: lidar_inertial_odometer ready (fused point-to-point + point-to-plane ICP)
[INFO] [1789098663.004316795] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789098663.004325119] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789098663.004331253] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789098663.004338427] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789098663.004343877] [lidar_inertial_odometer]:   icp    : alpha (point) 0, beta (plane) 1, huber 0.2 m
[INFO] [1789098668.525020541] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789098676.951969996] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400965.470 | feat 1554/5982 | map   3646 | icp ok  iter  5 corr  1334 rms 0.0743   10.93 ms | p=(    6.80    -3.30   0.54) v=7.46 m/s
[lio] t=1317400965.574 | feat 1593/6308 | map   3646 | icp ok  iter 12 corr  1294 rms 0.0740   25.99 ms | p=(    7.50    -3.65   0.60) v=7.55 m/s [KF]
[lio] t=1317400965.678 | feat 1584/6428 | map   4081 | icp ok  iter  4 corr  1392 rms 0.0481    9.11 ms | p=(    8.23    -3.99   0.65) v=7.74 m/s
[lio] t=1317400965.782 | feat 1482/6465 | map   4081 | icp ok  iter  3 corr  1214 rms 0.0847    5.18 ms | p=(    8.95    -4.33   0.71) v=7.75 m/s [KF]
[lio] t=1317400965.885 | feat 1422/6470 | map   4445 | icp ok  iter  3 corr  1216 rms 0.1038    7.39 ms | p=(    9.71    -4.66   0.76) v=7.97 m/s
[lio] t=1317400965.989 | feat 1384/6535 | map   4445 | icp ok  iter  3 corr  1137 rms 0.0654    5.96 ms | p=(   10.47    -5.01   0.82) v=8.03 m/s [KF]
[lio] t=1317400966.093 | feat 1414/6606 | map   4802 | icp ok  iter  4 corr  1197 rms 0.0483    7.59 ms | p=(   11.22    -5.33   0.87) v=7.91 m/s
[lio] t=1317400966.197 | feat 1370/6523 | map   4802 | icp ok  iter  5 corr  1107 rms 0.0544    9.90 ms | p=(   12.00    -5.67   0.93) v=8.05 m/s [KF]
[lio] t=1317400966.301 | feat 1271/6341 | map   5052 | icp ok  iter  4 corr  1041 rms 0.0872    6.86 ms | p=(   12.78    -6.00   0.98) v=8.03 m/s
[lio] t=1317400966.405 | feat 1285/6195 | map   5052 | icp ok  iter  4 corr  1012 rms 0.1345    7.17 ms | p=(   13.56    -6.33   1.04) v=8.04 m/s [KF]
[lio] t=1317400966.509 | feat 1406/6107 | map   5346 | icp ok  iter  4 corr  1162 rms 0.1100    8.29 ms | p=(   14.33    -6.64   1.10) v=7.98 m/s
[lio] t=1317400966.613 | feat 1364/5855 | map   5346 | icp ok  iter  4 corr  1107 rms 0.0710    8.41 ms | p=(   15.07    -6.94   1.15) v=7.77 m/s [KF]
[lio] t=1317400966.716 | feat 1439/5620 | map   5600 | icp ok  iter  3 corr  1190 rms 0.0692    6.83 ms | p=(   15.85    -7.24   1.20) v=7.85 m/s
[lio] t=1317400966.820 | feat 1412/5420 | map   5600 | icp ok  iter  4 corr  1156 rms 0.0512    7.90 ms | p=(   16.60    -7.55   1.25) v=7.82 m/s [KF]
[lio] t=1317400966.924 | feat 1470/5349 | map   5814 | icp ok  iter  3 corr  1248 rms 0.0680    7.07 ms | p=(   17.37    -7.85   1.31) v=7.81 m/s
[lio] t=1317400967.028 | feat 1451/5323 | map   5814 | icp ok  iter  3 corr  1193 rms 0.0567    6.47 ms | p=(   18.12    -8.14   1.36) v=7.70 m/s [KF]
[lio] t=1317400967.132 | feat 1472/5312 | map   6036 | icp ok  iter  4 corr  1221 rms 0.0477    8.87 ms | p=(   18.88    -8.44   1.42) v=7.74 m/s
[lio] t=1317400967.236 | feat 1566/5282 | map   6036 | icp ok  iter  4 corr  1304 rms 0.0897    9.45 ms | p=(   19.63    -8.73   1.46) v=7.61 m/s [KF]
[lio] t=1317400967.340 | feat 1566/5308 | map   6310 | icp ok  iter  4 corr  1318 rms 0.0525    9.04 ms | p=(   20.37    -9.01   1.51) v=7.51 m/s
[lio] t=1317400967.444 | feat 1555/5375 | map   6310 | icp ok  iter  3 corr  1289 rms 0.0494    7.28 ms | p=(   21.10    -9.29   1.56) v=7.45 m/s [KF]
[lio] t=1317400967.548 | feat 1589/5337 | map   6529 | icp ok  iter  3 corr  1312 rms 0.0495    7.26 ms | p=(   21.80    -9.57   1.62) v=7.19 m/s
[lio] t=1317400967.652 | feat 1643/5385 | map   6529 | icp ok  iter  3 corr  1363 rms 0.0695    7.76 ms | p=(   22.52    -9.84   1.67) v=7.18 m/s [KF]
[lio] t=1317400967.756 | feat 1571/5384 | map   6783 | icp ok  iter  3 corr  1316 rms 0.0379    6.69 ms | p=(   23.20   -10.09   1.71) v=6.93 m/s
[lio] t=1317400967.860 | feat 1641/5524 | map   6783 | icp ok  iter  3 corr  1356 rms 0.0541    6.79 ms | p=(   23.88   -10.35   1.76) v=6.81 m/s [KF]
[lio] t=1317400967.964 | feat 1648/5532 | map   6960 | icp ok  iter  3 corr  1362 rms 0.0500    7.03 ms | p=(   24.55   -10.61   1.81) v=6.77 m/s
[lio] t=1317400968.068 | feat 1816/5685 | map   6960 | icp ok  iter  4 corr  1425 rms 0.0544   10.31 ms | p=(   25.19   -10.86   1.85) v=6.55 m/s [KF]
[lio] t=1317400968.172 | feat 1777/5641 | map   7276 | icp ok  iter  4 corr  1515 rms 0.0517   10.78 ms | p=(   25.83   -11.11   1.89) v=6.46 m/s
[lio] t=1317400968.276 | feat 1779/5683 | map   7276 | icp ok  iter  3 corr  1478 rms 0.0553    7.91 ms | p=(   26.46   -11.35   1.94) v=6.33 m/s [KF]
[lio] t=1317400968.380 | feat 1736/5610 | map   7521 | icp ok  iter  4 corr  1433 rms 0.0517    9.57 ms | p=(   27.09   -11.60   1.98) v=6.34 m/s
[lio] t=1317400968.484 | feat 1740/5480 | map   7521 | icp ok  iter  4 corr  1434 rms 0.0959    9.29 ms | p=(   27.68   -11.85   2.03) v=6.09 m/s [KF]
[lio] t=1317400968.588 | feat 1672/5545 | map   7768 | icp ok  iter  3 corr  1363 rms 0.0615    7.26 ms | p=(   28.25   -12.08   2.07) v=5.80 m/s
[lio] t=1317400968.693 | feat 1746/5480 | map   7768 | icp ok  iter  3 corr  1399 rms 0.0535    8.35 ms | p=(   28.84   -12.33   2.11) v=5.95 m/s [KF]
[lio] t=1317400968.797 | feat 1877/5658 | map   8001 | icp ok  iter  3 corr  1606 rms 0.0522    8.54 ms | p=(   29.40   -12.57   2.15) v=5.78 m/s
[lio] t=1317400968.901 | feat 1672/5653 | map   8001 | icp ok  iter  4 corr  1366 rms 0.0610    8.43 ms | p=(   29.94   -12.81   2.19) v=5.58 m/s [KF]
[lio] t=1317400969.005 | feat 1629/5663 | map   8256 | icp ok  iter  3 corr  1363 rms 0.0414    6.41 ms | p=(   30.47   -13.06   2.22) v=5.51 m/s
[lio] t=1317400969.109 | feat 1703/5790 | map   8256 | icp ok  iter  5 corr  1387 rms 0.0413   10.90 ms | p=(   30.99   -13.30   2.26) v=5.35 m/s [KF]
[lio] t=1317400969.213 | feat 1793/5876 | map   8455 | icp ok  iter  3 corr  1472 rms 0.0542    7.77 ms | p=(   31.50   -13.56   2.30) v=5.35 m/s
[lio] t=1317400969.317 | feat 1874/6028 | map   8455 | icp ok  iter  3 corr  1414 rms 0.0590    7.72 ms | p=(   32.00   -13.82   2.34) v=5.25 m/s [KF]
[lio] t=1317400969.421 | feat 1920/6099 | map   8801 | icp ok  iter  3 corr  1545 rms 0.0790    8.22 ms | p=(   32.48   -14.06   2.37) v=5.13 m/s
[lio] t=1317400969.526 | feat 1907/6074 | map   8801 | icp ok  iter  4 corr  1495 rms 0.0647   11.41 ms | p=(   32.95   -14.32   2.41) v=5.05 m/s [KF]
[lio] t=1317400969.630 | feat 1858/6025 | map   8914 | icp ok  iter  4 corr  1527 rms 0.0587   10.13 ms | p=(   33.41   -14.59   2.44) v=4.96 m/s
[lio] t=1317400969.734 | feat 1864/6101 | map   8914 | icp ok  iter  4 corr  1506 rms 0.1004   10.41 ms | p=(   33.84   -14.87   2.48) v=4.84 m/s [KF]
[lio] t=1317400969.838 | feat 1880/6067 | map   8998 | icp ok  iter  4 corr  1559 rms 0.0767   10.90 ms | p=(   34.27   -15.14   2.51) v=4.75 m/s
[lio] t=1317400969.943 | feat 2028/6168 | map   8998 | icp ok  iter  6 corr  1677 rms 0.0686   17.60 ms | p=(   34.67   -15.43   2.55) v=4.61 m/s [KF]
[lio] t=1317400970.047 | feat 2039/6330 | map   9040 | icp ok  iter  4 corr  1721 rms 0.0705   12.52 ms | p=(   35.07   -15.72   2.58) v=4.56 m/s
[lio] t=1317400970.151 | feat 2142/6577 | map   9040 | icp ok  iter  4 corr  1782 rms 0.0763   12.74 ms | p=(   35.44   -15.99   2.61) v=4.37 m/s
[lio] t=1317400970.255 | feat 2101/6817 | map   9040 | icp ok  iter  4 corr  1665 rms 0.0740   12.90 ms | p=(   35.80   -16.29   2.65) v=4.28 m/s [KF]
[lio] t=1317400970.360 | feat 2201/7004 | map   9105 | icp ok  iter  3 corr  1846 rms 0.0684   10.18 ms | p=(   36.14   -16.59   2.68) v=4.26 m/s
[lio] t=1317400970.464 | feat 2263/7102 | map   9105 | icp ok  iter  4 corr  1867 rms 0.0820   15.28 ms | p=(   36.50   -16.88   2.73) v=4.25 m/s
[lio] t=1317400970.568 | feat 2263/7124 | map   9105 | icp ok  iter  4 corr  1841 rms 0.0832   14.34 ms | p=(   36.80   -17.18   2.76) v=4.00 m/s [KF]
[lio] t=1317400970.672 | feat 2395/7276 | map   9326 | icp ok  iter  3 corr  2041 rms 0.0616   11.14 ms | p=(   37.07   -17.49   2.79) v=3.81 m/s
[lio] t=1317400970.777 | feat 2367/7335 | map   9326 | icp ok  iter  4 corr  1988 rms 0.0623   14.78 ms | p=(   37.33   -17.80   2.82) v=3.77 m/s
[lio] t=1317400970.881 | feat 2471/7381 | map   9326 | icp ok  iter  3 corr  2005 rms 0.0678   12.06 ms | p=(   37.58   -18.11   2.85) v=3.73 m/s [KF]
[lio] t=1317400970.985 | feat 2659/7422 | map   9513 | icp ok  iter  4 corr  2316 rms 0.0630   16.83 ms | p=(   37.81   -18.44   2.88) v=3.71 m/s
[lio] t=1317400971.089 | feat 2648/7515 | map   9513 | icp ok  iter  3 corr  2277 rms 0.0541   11.55 ms | p=(   38.01   -18.76   2.92) v=3.63 m/s
[lio] t=1317400971.194 | feat 2632/7476 | map   9513 | icp ok  iter  4 corr  2276 rms 0.0595   16.49 ms | p=(   38.20   -19.10   2.94) v=3.58 m/s [KF]
[lio] t=1317400971.298 | feat 2580/7595 | map   9557 | icp ok  iter  4 corr  2263 rms 0.0558   16.15 ms | p=(   38.38   -19.43   2.98) v=3.55 m/s
[lio] t=1317400971.402 | feat 2496/7634 | map   9557 | icp ok  iter  4 corr  2237 rms 0.0670   15.64 ms | p=(   38.53   -19.77   3.00) v=3.49 m/s
[lio] t=1317400971.506 | feat 2522/7661 | map   9557 | icp ok  iter  3 corr  2188 rms 0.0696   12.06 ms | p=(   38.68   -20.12   3.03) v=3.54 m/s [KF]
[lio] t=1317400971.610 | feat 2297/7672 | map   9712 | icp ok  iter  3 corr  2019 rms 0.0589   11.11 ms | p=(   38.80   -20.46   3.06) v=3.43 m/s
[lio] t=1317400971.715 | feat 2252/7634 | map   9712 | icp ok  iter  5 corr  1945 rms 0.0558   16.55 ms | p=(   38.90   -20.82   3.08) v=3.49 m/s
[lio] t=1317400971.819 | feat 2213/7661 | map   9712 | icp ok  iter  3 corr  1934 rms 0.0729   10.66 ms | p=(   38.99   -21.19   3.10) v=3.61 m/s [KF]
[lio] t=1317400971.923 | feat 2102/7535 | map   9796 | icp ok  iter  3 corr  1844 rms 0.0621    9.90 ms | p=(   39.05   -21.57   3.13) v=3.67 m/s
[lio] t=1317400972.027 | feat 2000/7276 | map   9796 | icp ok  iter  4 corr  1719 rms 0.0579   12.49 ms | p=(   39.12   -21.95   3.14) v=3.77 m/s
[lio] t=1317400972.131 | feat 1949/7153 | map   9796 | icp ok  iter  5 corr  1719 rms 0.0782   15.57 ms | p=(   39.16   -22.36   3.16) v=3.89 m/s [KF]
[lio] t=1317400972.235 | feat 2034/7052 | map   9808 | icp ok  iter  5 corr  1809 rms 0.0686   15.81 ms | p=(   39.16   -22.80   3.16) v=4.17 m/s
[lio] t=1317400972.340 | feat 1965/6688 | map   9808 | icp ok  iter  4 corr  1716 rms 0.0553   12.34 ms | p=(   39.15   -23.24   3.18) v=4.30 m/s
[lio] t=1317400972.444 | feat 1946/6477 | map   9808 | icp ok  iter  4 corr  1693 rms 0.0656   12.27 ms | p=(   39.11   -23.69   3.19) v=4.42 m/s [KF]
[lio] t=1317400972.547 | feat 1878/6181 | map   9847 | icp ok  iter  4 corr  1704 rms 0.0595   10.66 ms | p=(   39.06   -24.18   3.22) v=4.65 m/s
[lio] t=1317400972.651 | feat 1830/5885 | map   9847 | icp ok  iter  4 corr  1642 rms 0.0552   11.86 ms | p=(   38.98   -24.68   3.23) v=4.89 m/s
[lio] t=1317400972.755 | feat 1691/5745 | map   9847 | icp ok  iter  3 corr  1484 rms 0.0642    8.41 ms | p=(   38.88   -25.18   3.25) v=5.02 m/s [KF]
[lio] t=1317400972.859 | feat 1839/5681 | map   9896 | icp ok  iter  3 corr  1663 rms 0.0557    8.38 ms | p=(   38.75   -25.71   3.26) v=5.24 m/s
[lio] t=1317400972.963 | feat 1746/5588 | map   9896 | icp ok  iter  4 corr  1554 rms 0.0556   11.43 ms | p=(   38.61   -26.24   3.28) v=5.38 m/s [KF]
[lio] t=1317400973.067 | feat 1636/5440 | map   9917 | icp ok  iter  5 corr  1469 rms 0.0756   12.81 ms | p=(   38.45   -26.79   3.30) v=5.56 m/s
[lio] t=1317400973.170 | feat 1617/5334 | map   9917 | icp ok  iter  5 corr  1425 rms 0.0529   12.39 ms | p=(   38.26   -27.38   3.30) v=5.93 m/s [KF]
[lio] t=1317400973.274 | feat 1656/5239 | map   9901 | icp ok  iter  4 corr  1501 rms 0.0694   10.44 ms | p=(   38.06   -27.93   3.30) v=5.89 m/s
[lio] t=1317400973.378 | feat 1545/5098 | map   9901 | icp ok  iter  5 corr  1364 rms 0.0545   11.20 ms | p=(   37.83   -28.54   3.32) v=6.22 m/s [KF]
[lio] t=1317400973.481 | feat 1391/5053 | map   9862 | icp ok  iter  5 corr  1234 rms 0.0464   10.14 ms | p=(   37.61   -29.09   3.33) v=6.05 m/s
[lio] t=1317400973.585 | feat 1518/5009 | map   9862 | icp ok  iter  4 corr  1381 rms 0.0595    9.78 ms | p=(   37.33   -29.74   3.34) v=6.59 m/s [KF]
[lio] t=1317400973.689 | feat 1504/5058 | map   9841 | icp ok  iter  3 corr  1359 rms 0.0488    7.06 ms | p=(   37.05   -30.36   3.36) v=6.72 m/s
[lio] t=1317400973.792 | feat 1508/4966 | map   9841 | icp ok  iter  5 corr  1320 rms 0.0618   11.18 ms | p=(   36.76   -31.00   3.37) v=6.85 m/s [KF]
[lio] t=1317400973.896 | feat 1412/5054 | map   9795 | icp ok  iter  4 corr  1257 rms 0.0666    9.05 ms | p=(   36.43   -31.66   3.38) v=7.08 m/s
[lio] t=1317400974.000 | feat 1419/4908 | map   9795 | icp ok  iter  6 corr  1273 rms 0.0737   13.19 ms | p=(   36.10   -32.34   3.40) v=7.34 m/s [KF]
[lio] t=1317400974.104 | feat 1459/4927 | map   9745 | icp ok  iter  4 corr  1291 rms 0.0688   10.02 ms | p=(   35.77   -32.96   3.41) v=7.07 m/s
[lio] t=1317400974.207 | feat 1550/4944 | map   9745 | icp ok  iter  4 corr  1341 rms 0.0871   10.17 ms | p=(   35.42   -33.70   3.43) v=7.65 m/s [KF]
[lio] t=1317400974.311 | feat 1616/4865 | map   9736 | icp ok  iter  6 corr  1448 rms 0.0555   15.01 ms | p=(   35.07   -34.37   3.45) v=7.56 m/s
[lio] t=1317400974.415 | feat 1553/4703 | map   9736 | icp ok  iter  4 corr  1368 rms 0.0735    9.40 ms | p=(   34.71   -35.07   3.46) v=7.64 m/s [KF]
[lio] t=1317400974.518 | feat 1548/4780 | map   9709 | icp ok  iter  4 corr  1354 rms 0.0729   10.43 ms | p=(   34.35   -35.79   3.49) v=7.74 m/s
[lio] t=1317400974.622 | feat 1562/4802 | map   9709 | icp ok  iter  4 corr  1357 rms 0.0619   10.04 ms | p=(   34.00   -36.52   3.50) v=7.79 m/s [KF]
[lio] t=1317400974.726 | feat 1554/4842 | map   9664 | icp ok  iter  3 corr  1380 rms 0.0792    7.56 ms | p=(   33.66   -37.24   3.51) v=7.72 m/s
[lio] t=1317400974.830 | feat 1623/4983 | map   9664 | icp ok  iter  4 corr  1410 rms 0.0642   10.56 ms | p=(   33.29   -37.93   3.54) v=7.61 m/s [KF]
[lio] t=1317400974.933 | feat 1573/4989 | map   9700 | icp ok  iter 12 corr  1407 rms 0.0594   29.77 ms | p=(   32.95   -38.65   3.56) v=7.64 m/s
[lio] t=1317400975.037 | feat 1623/5168 | map   9700 | icp ok  iter  5 corr  1437 rms 0.0752   12.57 ms | p=(   32.60   -39.38   3.58) v=7.73 m/s [KF]
[lio] t=1317400975.141 | feat 1578/5294 | map   9746 | icp ok  iter  3 corr  1363 rms 0.0635    7.19 ms | p=(   32.26   -40.11   3.60) v=7.74 m/s
[lio] t=1317400975.245 | feat 1741/5613 | map   9746 | icp ok  iter  4 corr  1504 rms 0.0883   11.67 ms | p=(   31.93   -40.82   3.62) v=7.58 m/s [KF]
[lio] t=1317400975.349 | feat 1685/5811 | map   9818 | icp ok  iter  4 corr  1483 rms 0.0657   10.84 ms | p=(   31.59   -41.57   3.64) v=7.79 m/s
[lio] t=1317400975.453 | feat 1754/6131 | map   9818 | icp ok  iter  4 corr  1502 rms 0.0635   10.94 ms | p=(   31.27   -42.31   3.63) v=7.76 m/s [KF]
[lio] t=1317400975.556 | feat 1673/6379 | map   9855 | icp ok  iter  3 corr  1476 rms 0.0731    7.90 ms | p=(   30.95   -43.05   3.66) v=7.79 m/s
[lio] t=1317400975.660 | feat 1608/6587 | map   9855 | icp ok  iter  4 corr  1365 rms 0.0706    9.50 ms | p=(   30.63   -43.79   3.68) v=7.76 m/s [KF]
[lio] t=1317400975.764 | feat 1610/6825 | map   9897 | icp ok  iter  4 corr  1409 rms 0.0566    9.83 ms | p=(   30.30   -44.53   3.70) v=7.78 m/s
[lio] t=1317400975.868 | feat 1715/7094 | map   9897 | icp ok  iter  4 corr  1438 rms 0.0994   10.00 ms | p=(   29.98   -45.29   3.70) v=7.88 m/s [KF]
[lio] t=1317400975.972 | feat 1682/7058 | map   9969 | icp ok  iter  4 corr  1485 rms 0.0495    9.60 ms | p=(   29.66   -46.03   3.69) v=7.86 m/s
[lio] t=1317400976.076 | feat 1754/7098 | map   9969 | icp ok  iter  4 corr  1508 rms 0.0609   10.54 ms | p=(   29.33   -46.79   3.70) v=7.92 m/s [KF]
[lio] t=1317400976.180 | feat 1878/7202 | map   9937 | icp ok  iter  3 corr  1624 rms 0.0464    7.81 ms | p=(   29.01   -47.54   3.74) v=7.92 m/s
[lio] t=1317400976.283 | feat 1806/7186 | map   9937 | icp ok  iter  3 corr  1541 rms 0.0560    8.35 ms | p=(   28.68   -48.31   3.76) v=8.00 m/s [KF]
[lio] t=1317400976.387 | feat 1714/7214 | map   9835 | icp ok  iter  3 corr  1465 rms 0.0673    7.73 ms | p=(   28.36   -49.09   3.77) v=8.08 m/s
[lio] t=1317400976.491 | feat 1797/6964 | map   9835 | icp ok  iter  3 corr  1520 rms 0.0833    7.44 ms | p=(   28.04   -49.86   3.78) v=8.11 m/s [KF]
[lio] t=1317400976.595 | feat 1819/6686 | map   9717 | icp ok  iter  4 corr  1560 rms 0.0698   10.55 ms | p=(   27.70   -50.65   3.80) v=8.21 m/s
[lio] t=1317400976.699 | feat 1681/6500 | map   9717 | icp ok  iter 12 corr  1402 rms 0.0649   27.27 ms | p=(   27.37   -51.45   3.83) v=8.30 m/s [KF]
[lio] t=1317400976.803 | feat 1686/6138 | map   9565 | icp ok  iter  4 corr  1418 rms 0.0700    9.73 ms | p=(   27.04   -52.23   3.83) v=8.27 m/s
[lio] t=1317400976.907 | feat 1566/5722 | map   9565 | icp ok  iter  5 corr  1295 rms 0.0514   10.59 ms | p=(   26.69   -53.04   3.85) v=8.47 m/s [KF]
[lio] t=1317400977.011 | feat 1627/5547 | map   9334 | icp ok  iter  3 corr  1388 rms 0.0548    6.79 ms | p=(   26.35   -53.84   3.87) v=8.47 m/s
[lio] t=1317400977.115 | feat 1744/5538 | map   9334 | icp ok  iter  3 corr  1466 rms 0.0700    7.63 ms | p=(   25.98   -54.68   3.90) v=8.71 m/s [KF]
[lio] t=1317400977.219 | feat 1678/5508 | map   9097 | icp ok  iter  4 corr  1430 rms 0.0596    8.91 ms | p=(   25.63   -55.49   3.92) v=8.66 m/s
[lio] t=1317400977.323 | feat 1677/5447 | map   9097 | icp ok  iter  3 corr  1385 rms 0.0576    7.44 ms | p=(   25.27   -56.34   3.94) v=8.83 m/s [KF]
[lio] t=1317400977.427 | feat 1663/5462 | map   8941 | icp ok  iter  4 corr  1382 rms 0.0745    9.59 ms | p=(   24.90   -57.20   3.97) v=9.00 m/s
[lio] t=1317400977.530 | feat 1789/5511 | map   8941 | icp ok  iter  4 corr  1515 rms 0.0787   10.42 ms | p=(   24.52   -58.05   4.00) v=9.01 m/s [KF]
[lio] t=1317400977.634 | feat 1798/5508 | map   8895 | icp ok  iter  4 corr  1532 rms 0.0638   10.65 ms | p=(   24.14   -58.92   4.02) v=9.14 m/s
[lio] t=1317400977.738 | feat 1825/5611 | map   8895 | icp ok  iter  3 corr  1544 rms 0.0502    7.89 ms | p=(   23.76   -59.78   4.05) v=9.13 m/s [KF]
[lio] t=1317400977.842 | feat 1755/5724 | map   8825 | icp ok  iter  3 corr  1483 rms 0.0518    8.16 ms | p=(   23.38   -60.65   4.07) v=9.21 m/s
[lio] t=1317400977.946 | feat 1755/5908 | map   8825 | icp ok  iter  4 corr  1486 rms 0.0582    9.46 ms | p=(   22.98   -61.55   4.09) v=9.44 m/s [KF]
[lio] t=1317400978.050 | feat 1809/6151 | map   8877 | icp ok  iter  3 corr  1541 rms 0.0519    7.87 ms | p=(   22.58   -62.44   4.12) v=9.48 m/s
[lio] t=1317400978.154 | feat 1967/6393 | map   8877 | icp ok  iter  3 corr  1624 rms 0.0547    9.22 ms | p=(   22.19   -63.35   4.15) v=9.53 m/s [KF]
[lio] t=1317400978.258 | feat 1889/6502 | map   8944 | icp ok  iter  3 corr  1600 rms 0.0634    8.66 ms | p=(   21.79   -64.26   4.17) v=9.60 m/s
[lio] t=1317400978.362 | feat 1916/6651 | map   8944 | icp ok  iter  3 corr  1558 rms 0.0583    8.44 ms | p=(   21.38   -65.18   4.19) v=9.70 m/s [KF]
[lio] t=1317400978.465 | feat 1981/6726 | map   9087 | icp ok  iter  6 corr  1671 rms 0.0649   15.05 ms | p=(   20.98   -66.11   4.21) v=9.73 m/s [KF]
[lio] t=1317400978.569 | feat 1847/6844 | map   9174 | icp ok  iter  4 corr  1516 rms 0.0546   10.10 ms | p=(   20.58   -67.03   4.23) v=9.76 m/s [KF]
[lio] t=1317400978.673 | feat 2026/6960 | map   9218 | icp ok  iter  3 corr  1660 rms 0.0626    8.74 ms | p=(   20.17   -67.97   4.24) v=9.91 m/s [KF]
[lio] t=1317400978.777 | feat 2021/6761 | map   9302 | icp ok  iter  4 corr  1677 rms 0.0578   11.00 ms | p=(   19.76   -68.92   4.27) v=9.94 m/s [KF]
[lio] t=1317400978.881 | feat 2260/6748 | map   9414 | icp ok  iter  3 corr  1920 rms 0.0694   10.52 ms | p=(   19.33   -69.88   4.29) v=10.09 m/s [KF]
[lio] t=1317400978.985 | feat 2201/6603 | map   9559 | icp ok  iter  4 corr  1822 rms 0.0576   13.33 ms | p=(   18.90   -70.84   4.31) v=10.15 m/s [KF]
[lio] t=1317400979.089 | feat 2394/6425 | map   9648 | icp ok  iter  4 corr  2024 rms 0.0510   13.58 ms | p=(   18.47   -71.81   4.32) v=10.27 m/s [KF]
[lio] t=1317400979.192 | feat 2352/6372 | map   9774 | icp ok  iter  4 corr  1965 rms 0.1003   14.04 ms | p=(   18.04   -72.79   4.33) v=10.32 m/s [KF]
